indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,21.3953699161319,44.90255878564436
blue_water_consumption,Mm3,imported,26.253072610872017,55.09744121435564
climate_change,kt CO2eq,domestic,3152.931015293279,81.0548605960691
climate_change,kt CO2eq,imported,736.9418339189075,18.9451394039309
land_use,km2,domestic,1531.716111806168,50.722598700807055
land_use,km2,imported,1488.074180960903,49.277401299192945
material_extraction,kt,domestic,2064.289536895215,80.35541782492528
material_extraction,kt,imported,504.6592568162369,19.64458217507472
waste_generation,kt,domestic,185.40359659012262,79.62091899556965
waste_generation,kt,imported,47.454299210400656,20.37908100443035
