,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),3889.8728492121777,74432.54477363416,5.226037697679344
Material extraction (kt),2568.9487937114613,46795.435212522534,5.489742283717465
Blue water consumption (Mm3),47.6484425270039,1056.8241867962856,4.508644211810479
Land use (km2),3019.7902927670734,75786.42720532298,3.9846056927657534
Waste generation (kt),232.85789580052392,10727.905542600927,2.170581152824624
