indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.525541559924065,9.491123607266237
blue_water_consumption,Mm3,imported,43.156289877392695,90.50887639273375
climate_change,kt CO2eq,domestic,1632.3874245848278,40.85470908441922
climate_change,kt CO2eq,imported,2363.2044206827045,59.14529091558078
land_use,km2,domestic,328.04252647407054,10.861934785157043
land_use,km2,imported,2692.0688345547615,89.13806521484295
material_extraction,kt,domestic,1536.7889291364086,59.707252477640644
material_extraction,kt,imported,1037.0842024599751,40.29274752235936
waste_generation,kt,domestic,135.6808106065501,58.887285202653395
waste_generation,kt,imported,94.72684045024624,41.112714797346605
