,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"3,996 (100·0%)","2,574 (100·0%)",48 (100·0%),"3,020 (100·0%)",230 (100·0%),"35,271 (100·0%)"
Health-care services,Top-down,"2,592 (64·9%)","1,760 (68·4%)",36 (74·7%),"2,474 (81·9%)",178 (77·4%),"32,641 (92·5%)"
Pharmaceuticals and chemical products,Top-down,508 (12·7%),695 (27·0%),11 (22·0%),470 (15·6%),47 (20·5%),"1,731 (4·9%)"
Medical appliances,Top-down,150 (3·7%),86 (3·3%),1 (2·8%),74 (2·5%),5 (2·1%),899 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,10 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,723 (18·1%),33 (1·3%),0 (0·5%),2 (<0·1%),0 (<0·1%),NA
