indicator,unit,purchased_world_region,value
climate_change,kt CO2eq,Denmark,3258.6500113486272
material_extraction,kt,Denmark,2069.213874780146
land_use,km2,Denmark,1532.037180067929
land_use,km2,Europe,526.9373946739867
land_use,km2,Asia and Pacific,438.43834750779683
climate_change,kt CO2eq,Europe,364.33502371446144
material_extraction,kt,Europe,274.9391165160755
land_use,km2,Africa,236.27913285878515
climate_change,kt CO2eq,Asia and Pacific,201.04574309309152
waste_generation,kt,Denmark,182.95335184639578
land_use,km2,Middle East,157.12380555165944
land_use,km2,America,129.2955003686751
material_extraction,kt,Asia and Pacific,113.48173954202683
material_extraction,kt,Middle East,78.3176333799583
climate_change,kt CO2eq,Middle East,76.06112413610062
climate_change,kt CO2eq,America,50.5483604343729
climate_change,kt CO2eq,Africa,44.95158254088106
waste_generation,kt,Europe,26.171683008401438
material_extraction,kt,America,23.867572128840543
blue_water_consumption,Mm3,Denmark,21.42875882644473
material_extraction,kt,Africa,14.053195249335737
blue_water_consumption,Mm3,Asia and Pacific,11.821397058104075
waste_generation,kt,Asia and Pacific,11.486894583963062
blue_water_consumption,Mm3,Middle East,6.586506599590659
blue_water_consumption,Mm3,Europe,5.451288650362636
waste_generation,kt,Africa,5.270613115458734
waste_generation,kt,Middle East,2.3329904449774403
waste_generation,kt,America,2.192118057599986
blue_water_consumption,Mm3,Africa,1.2299074239697687
blue_water_consumption,Mm3,America,1.1639728788448773
