method,indicator,unit,quality_flag,origin,value,share_of_total_pct
Employment,Employment,1000 p.,ok,imported,261.34151360998527,76.88281688332489
Employment hour,Employment hour,M.hr,ok,domestic,148.52739988433777,21.18397140753841
Employment hour,Employment hour,M.hr,ok,imported,552.6036440873494,78.81602859246159
ILCD recommended CF,Acidification endpoint,PDF,ok,domestic,0.0781168771205768,33.84223256421368
ILCD recommended CF,Acidification endpoint,PDF,ok,imported,0.15270972975990763,66.15776743578631
ILCD recommended CF,Acidification midpoint,Accumulated Exceedance (AE),ok,domestic,17390022.553576387,34.35775758374328
ILCD recommended CF,Acidification midpoint,Accumulated Exceedance (AE),ok,imported,33224522.09821036,65.64224241625672
ILCD recommended CF,"Climate change endpoint, ecosystems",PDF,ok,domestic,5.160678765661872,17.771331994674558
ILCD recommended CF,"Climate change endpoint, ecosystems",PDF,ok,imported,23.878668241126057,82.22866800532545
ILCD recommended CF,"Climate change endpoint, human health",DALY,ok,domestic,911.2970283405838,17.769887128987026
ILCD recommended CF,"Climate change endpoint, human health",DALY,ok,imported,4217.024956631598,82.23011287101296
ILCD recommended CF,Climate change midpoint,kg CO2-Equivalents,ok,domestic,650953429.7520787,17.770031535134482
ILCD recommended CF,Climate change midpoint,kg CO2-Equivalents,ok,imported,3012255768.639208,82.22996846486552
ILCD recommended CF,Ecotoxicity freshwater endpoint,PDF.m3.year,DUPLICATE_OF_MIDPOINT,domestic,145788799.42835405,9.8527509026836
ILCD recommended CF,Ecotoxicity freshwater endpoint,PDF.m3.year,DUPLICATE_OF_MIDPOINT,imported,1333887291.7295527,90.1472490973164
ILCD recommended CF,Ecotoxicity freshwater midpoint,CTUe = PAF.m3.year,ok,domestic,145788799.42835405,9.8527509026836
ILCD recommended CF,Ecotoxicity freshwater midpoint,CTUe = PAF.m3.year,ok,imported,1333887291.7295527,90.1472490973164
ILCD recommended CF,Eutrophication marine midpoint,kg-N equivalent,ok,domestic,151703.09422449922,16.680601904179984
ILCD recommended CF,Eutrophication marine midpoint,kg-N equivalent,ok,imported,757755.0601990771,83.31939809582002
ILCD recommended CF,Eutrophication terrestrial midpoint,Accumulated Exceedance (AE),ok,domestic,18285640.82170303,16.680601904179984
ILCD recommended CF,Eutrophication terrestrial midpoint,Accumulated Exceedance (AE),ok,imported,91336547.43471019,83.31939809582002
ILCD recommended CF,"Human toxicity endpoint, cancer effects",DALY,ok,domestic,43.04403333681457,12.191395708810916
ILCD recommended CF,"Human toxicity endpoint, cancer effects",DALY,ok,imported,310.02492090692283,87.80860429118908
ILCD recommended CF,"Human toxicity endpoint, non-cancer effects",DALY,ok,domestic,919.5267509818937,10.554468842269737
ILCD recommended CF,"Human toxicity endpoint, non-cancer effects",DALY,ok,imported,7792.676247801603,89.44553115773027
ILCD recommended CF,"Human toxicity midpoint, cancer effects",CTUh/kg = cases,ok,domestic,3.744736553074755,12.192095046901867
ILCD recommended CF,"Human toxicity midpoint, cancer effects",CTUh/kg = cases,ok,imported,26.96972670093613,87.80790495309815
ILCD recommended CF,"Human toxicity midpoint, non-cancer effects",CTUh = cases,ok,domestic,340.8640896793226,10.556157364742278
ILCD recommended CF,"Human toxicity midpoint, non-cancer effects",CTUh = cases,ok,imported,2888.1905549379853,89.44384263525771
ILCD recommended CF,Particulate matter/Respiratory inorganics endpoint,DALY,ok,domestic,2169.360313971028,26.027393562733387
ILCD recommended CF,Particulate matter/Respiratory inorganics endpoint,DALY,ok,imported,6165.551550108852,73.9726064372666
ILCD recommended CF,Particulate matter/Respiratory inorganics midpoint,kg PM2.5-eq,ok,domestic,1205200.1768888938,26.027393551652967
ILCD recommended CF,Particulate matter/Respiratory inorganics midpoint,kg PM2.5-eq,ok,imported,3425306.425691575,73.97260644834702
ILCD recommended CF,"Photochemical ozone formation endpoint, human health",DALY,ENDPOINT_MIDPOINT_RATIO_IMPLAUSIBLE,domestic,0.237529161526752,45.13580380318667
ILCD recommended CF,"Photochemical ozone formation endpoint, human health",DALY,ENDPOINT_MIDPOINT_RATIO_IMPLAUSIBLE,imported,0.2887252562797655,54.864196196813324
ILCD recommended CF,"Photochemical ozone formation midpoint, human health",kg-C2H4 equivalents,ok,domestic,6090861.987080098,45.13961463746258
ILCD recommended CF,"Photochemical ozone formation midpoint, human health",kg-C2H4 equivalents,ok,imported,7402523.0052346755,54.86038536253742
Land use,Land use,km2,ok,domestic,375.98769989101595,7.752074282189522
Land use,Land use,km2,ok,imported,4474.16835130746,92.24792571781047
"Problem oriented approach: baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP inf. ,"kg 1,4-dichlorobenzene eq.",ok,domestic,2351505.097704222,10.661586061557985
"Problem oriented approach: baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP inf. ,"kg 1,4-dichlorobenzene eq.",ok,imported,19704360.55049367,89.33841393844203
"Problem oriented approach: baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP inf,"kg 1,4-dichlorobenzene eq.",ok,domestic,9219791346.007158,10.5404855741799
"Problem oriented approach: baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP inf,"kg 1,4-dichlorobenzene eq.",ok,imported,78250480124.14285,89.4595144258201
"Problem oriented approach: baseline (CML, 1999)",Terrestrial ecotoxicity TETP inf,"kg 1,4-dichlorobenzene eq.",ok,domestic,23241472.71537565,12.914488270586862
"Problem oriented approach: baseline (CML, 1999)",Terrestrial ecotoxicity TETP inf,"kg 1,4-dichlorobenzene eq.",ok,imported,156722860.58545524,87.08551172941314
"Problem oriented approach: baseline (CML, 1999)","acidification (incl. fate, average Europe total, A&B)",kg SO2 eq.,ok,domestic,15936512.853450658,35.71742114050898
"Problem oriented approach: baseline (CML, 1999)","acidification (incl. fate, average Europe total, A&B)",kg SO2 eq.,ok,imported,28681806.007695317,64.28257885949103
"Problem oriented approach: baseline (CML, 1999)",eutrophication (fate not incl.),kg PO4--- eq.,ok,domestic,1481416.089404615,10.706235546239439
"Problem oriented approach: baseline (CML, 1999)",eutrophication (fate not incl.),kg PO4--- eq.,ok,imported,12355530.454564914,89.29376445376057
"Problem oriented approach: baseline (CML, 1999)",global warming GWP100,kg CO2 eq.,ok,domestic,700056193.7144915,18.315043287504448
"Problem oriented approach: baseline (CML, 1999)",global warming GWP100,kg CO2 eq.,ok,imported,3122245412.2670197,81.68495671249555
"Problem oriented approach: baseline (CML, 1999)",human toxicity HTP inf. ,"kg 1,4-dichlorobenzene eq.",ok,domestic,2655470042.099805,11.607247950666777
"Problem oriented approach: baseline (CML, 1999)",human toxicity HTP inf. ,"kg 1,4-dichlorobenzene eq.",ok,imported,20222218565.795074,88.39275204933323
"Problem oriented approach: baseline (CML, 1999)",ozone layer depletion ODP steady state ,kg CFC-11 eq.,WRONG_STRESSOR_CLASS,domestic,113.43218537497185,46.70651432389699
"Problem oriented approach: baseline (CML, 1999)",ozone layer depletion ODP steady state ,kg CFC-11 eq.,WRONG_STRESSOR_CLASS,imported,129.42940902351066,53.293485676103
"Problem oriented approach: baseline (CML, 1999)",photochemical oxidation (high NOx),kg ethylene eq.,ok,domestic,1431148.9951634065,42.94329945803218
"Problem oriented approach: baseline (CML, 1999)",photochemical oxidation (high NOx),kg ethylene eq.,ok,imported,1901498.9690714937,57.05670054196782
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,308804.4418201444,6.456933230935197
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,4473720.493402367,93.5430667690648
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,159831.72834063895,4.897409392088924
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,3103765.727874164,95.10259060791108
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 500,"kg 1,4-dichlorobenzene eq.",ok,domestic,823438.9462143662,8.974442992337964
"Problem oriented approach: non baseline (CML, 1999)",Freshwater aquatic ecotoxicity FAETP 500,"kg 1,4-dichlorobenzene eq.",ok,imported,8351937.697410055,91.02555700766204
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,790983.8145870743,5.801484505620043
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,12843178.50750184,94.19851549437995
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,418370.810148054,4.306355782197215
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,9296822.994266085,95.69364421780278
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 500,"kg 1,4-dichlorobenzene eq.",ok,domestic,2087997.522111676,8.467607116134548
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP 500,"kg 1,4-dichlorobenzene eq.",ok,imported,22570651.532744855,91.53239288386546
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP inf.,"kg 1,4-dichlorobenzene eq.",ok,domestic,5187487.494104179,10.00962126549238
"Problem oriented approach: non baseline (CML, 1999)",Freshwater sedimental ecotoxicity FSETP inf.,"kg 1,4-dichlorobenzene eq.",ok,imported,46637525.22628473,89.99037873450762
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,107143231.67298084,11.136114380685015
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,854980791.2161423,88.86388561931497
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,19491076.676455144,9.091360745427313
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,194900115.38198984,90.90863925457268
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 500,"kg 1,4-dichlorobenzene eq.",ok,domestic,569433034.6080939,11.751915635005727
"Problem oriented approach: non baseline (CML, 1999)",Marine aquatic ecotoxicity MAETP 500,"kg 1,4-dichlorobenzene eq.",ok,imported,4276015590.907131,88.24808436499427
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,135575512.47508883,10.243246371821682
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,1187984495.297894,89.75675362817832
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,34596058.9661737,7.68701528360333
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,415462353.69196546,92.31298471639667
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 500,"kg 1,4-dichlorobenzene eq.",ok,domestic,592976730.7266442,11.477811096272287
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP 500,"kg 1,4-dichlorobenzene eq.",ok,imported,4573310863.248731,88.52218890372771
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP inf.,"kg 1,4-dichlorobenzene eq.",ok,domestic,8835619295.17051,10.93136025422695
"Problem oriented approach: non baseline (CML, 1999)",Marine sedimental ecotoxicity MSETP inf.,"kg 1,4-dichlorobenzene eq.",ok,imported,71992558440.11127,89.06863974577305
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity,"kg 1,4-dichlorobenzene eq.",ok,domestic,3765650.8239456066,12.762401354111372
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity,"kg 1,4-dichlorobenzene eq.",ok,imported,25740166.454967286,87.23759864588861
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,931419.707694098,12.736688987770945
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,6381467.562996071,87.26331101222904
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,195128.00010836788,12.642090774185238
"Problem oriented approach: non baseline (CML, 1999)",Terrestrial ecotoxicity TETP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,1348350.8721270165,87.35790922581477
"Problem oriented approach: non baseline (CML, 1999)",acidification (fate not incl.),kg SO2 eq.,ok,domestic,14919965.98680734,32.43567599972279
"Problem oriented approach: non baseline (CML, 1999)",acidification (fate not incl.),kg SO2 eq.,ok,imported,31078662.150108494,67.56432400027722
"Problem oriented approach: non baseline (CML, 1999)","eutrophication (incl. fate, average Europe total, A&B)",kg NOx eq.,ok,domestic,9632196.292836433,18.01844145681303
"Problem oriented approach: non baseline (CML, 1999)","eutrophication (incl. fate, average Europe total, A&B)",kg NOx eq.,ok,imported,43825236.83712145,81.98155854318696
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP20 ,kg CO2 eq.,ok,domestic,880417300.6731261,16.69306687240219
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP20 ,kg CO2 eq.,ok,imported,4393732185.474777,83.3069331275978
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP500 ,kg CO2 eq.,ok,domestic,612144961.3478854,19.25636549600598
"Problem oriented approach: non baseline (CML, 1999)",global warming GWP500 ,kg CO2 eq.,ok,imported,2566777673.221199,80.74363450399403
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 max,kg CO2 eq.,ok,domestic,726177540.5869322,18.62948216626558
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 max,kg CO2 eq.,ok,imported,3171824207.9635487,81.37051783373443
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 min,kg CO2 eq.,ok,domestic,712872684.8762053,18.50030225543708
"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 min,kg CO2 eq.,ok,imported,3140430223.5489693,81.49969774456291
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 100,"kg 1,4-dichlorobenzene eq.",ok,domestic,1996233292.1184654,11.968623813451021
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 100,"kg 1,4-dichlorobenzene eq.",ok,imported,14682654132.474033,88.03137618654898
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 20,"kg 1,4-dichlorobenzene eq.",ok,domestic,1996169383.5436945,11.968620765995567
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 20,"kg 1,4-dichlorobenzene eq.",ok,imported,14682188320.086414,88.03137923400443
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 500,"kg 1,4-dichlorobenzene eq.",ok,domestic,1996383263.350694,11.968398296154817
"Problem oriented approach: non baseline (CML, 1999)",human toxicity HTP 500,"kg 1,4-dichlorobenzene eq.",ok,imported,14684071497.18387,88.03160170384517
"Problem oriented approach: non baseline (CML, 1999)",odour,m3,ok,domestic,1354491912718.7432,16.680601904179984
"Problem oriented approach: non baseline (CML, 1999)",odour,m3,ok,imported,6765670180348.903,83.31939809582002
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (EBIR; low NOx),kg formed ozone,ok,domestic,281662.76551748737,25.411255729400615
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (EBIR; low NOx),kg formed ozone,ok,imported,826754.5772413982,74.58874427059938
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MIR; very high NOx),kg formed ozone,ok,domestic,122226.81673872173,25.32165179682255
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MIR; very high NOx),kg formed ozone,ok,imported,360470.03779293713,74.67834820317745
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MOIR; high NOx),kg formed ozone,ok,domestic,220549.35714812652,25.4361969628114
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (MOIR; high NOx),kg formed ozone,ok,imported,646519.5583449297,74.5638030371886
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (low NOx),kg ethylene eq.,ok,domestic,293726.0635571248,26.392555929393083
"Problem oriented approach: non baseline (CML, 1999)",photochemical oxidation (low NOx),kg ethylene eq.,ok,imported,819186.4726251155,73.60744407060692
Total Emission relevant energy use,Total Emission relevant energy use,TJ,ok,domestic,10554.475424431084,24.65409475811022
Total Emission relevant energy use,Total Emission relevant energy use,TJ,ok,imported,32255.75763415275,75.34590524188978
Total Energy Use,Total Energy Use,TJ,ok,domestic,22332.306618248233,21.33000831684571
Total Energy Use,Total Energy Use,TJ,ok,imported,82366.69905729547,78.6699916831543
Total Energy inputs from nature,Total Energy inputs from nature,TJ,ok,domestic,5930.552609964649,7.973276123869518
Total Energy inputs from nature,Total Energy inputs from nature,TJ,ok,imported,68449.82150263396,92.02672387613048
Total Energy supply,Total Energy supply,TJ,ok,domestic,12603.26762945512,10.902728861921156
Total Energy supply,Total Energy supply,TJ,ok,imported,102994.1005989089,89.09727113807885
USEtox,Fresh water Ecotoxicity,PAF m3.day,ok,domestic,241176917.89989322,10.614088481637175
USEtox,Fresh water Ecotoxicity,PAF m3.day,ok,imported,2031056993.821679,89.38591151836282
USEtox,Human toxicity,cases,ok,domestic,348.17526775287274,10.560872315223918
USEtox,Human toxicity,cases,ok,imported,2948.6666725759037,89.4391276847761
Unused Domestic Extraction,Unused Domestic Extraction,kt,ok,domestic,412.3269921640051,10.58674625529619
Unused Domestic Extraction,Unused Domestic Extraction,kt,ok,imported,3482.4201021826825,89.41325374470381
Value Added,Value Added,M.EUR,ok,domestic,7242.716521479546,60.5427818574136
Value Added,Value Added,M.EUR,ok,imported,4720.256271110525,39.457218142586406
Water Consumption Blue - Agriculture,Water Consumption Blue - Agriculture,Mm3,ok,domestic,0.6191531408472104,0.8067987769459629
Water Consumption Blue - Agriculture,Water Consumption Blue - Agriculture,Mm3,ok,imported,76.12280018621881,99.19320122305403
Water Consumption Blue - Electricity,Water Consumption Blue - Electricity,Mm3,ok,domestic,2.891089692588868,79.10787357695004
Water Consumption Blue - Electricity,Water Consumption Blue - Electricity,Mm3,ok,imported,0.7635271765861568,20.892126423049966
Water Consumption Blue - Livestock,Water Consumption Blue - Livestock,Mm3,ok,domestic,0.6229182910708049,17.35253150745146
Water Consumption Blue - Livestock,Water Consumption Blue - Livestock,Mm3,ok,imported,2.966865083206969,82.64746849254855
Water Consumption Blue - Manufacturing,Water Consumption Blue - Manufacturing,Mm3,ok,domestic,0.29944262670575966,2.653480122858777
Water Consumption Blue - Manufacturing,Water Consumption Blue - Manufacturing,Mm3,ok,imported,10.98545919434687,97.34651987714122
Water Consumption Blue - Total,Water Consumption Blue - Total,Mm3,ok,domestic,4.432603751212643,4.652613984138589
Water Consumption Blue - Total,Water Consumption Blue - Total,Mm3,ok,imported,90.8386516403588,95.34738601586142
Water Consumption Green - Agriculture,Water Consumption Green - Agriculture,Mm3,ok,domestic,94.52529515883322,13.626905018839516
Water Consumption Green - Agriculture,Water Consumption Green - Agriculture,Mm3,ok,imported,599.1413520229721,86.37309498116049
Water Withdrawal Blue - Electricity,Water Withdrawal Blue - Electricity,Mm3,ok,domestic,3.5874134176873853,11.876468667618914
Water Withdrawal Blue - Electricity,Water Withdrawal Blue - Electricity,Mm3,ok,imported,26.618647980583603,88.12353133238108
Water Withdrawal Blue - Manufacturing,Water Withdrawal Blue - Manufacturing,Mm3,ok,domestic,0.5444411394647822,0.9521209796328299
Water Withdrawal Blue - Manufacturing,Water Withdrawal Blue - Manufacturing,Mm3,ok,imported,56.63748753463472,99.04787902036718
Water Withdrawal Blue - Total,Water Withdrawal Blue - Total,Mm3,ok,domestic,4.131854557152168,4.728172090616075
Water Withdrawal Blue - Total,Water Withdrawal Blue - Total,Mm3,ok,imported,83.25613551521832,95.27182790938393
