,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),4085.376884580129,73752.84871237855,5.539280117182033
Material extraction (kt),3045.6391956674756,46801.255712001264,6.50760145071595
Blue water consumption (Mm3),54.931643183164795,1057.0049457295117,5.196914489861038
Land use (km2),3336.1788065802216,75799.13574289167,4.401341484811169
Waste generation (kt),265.4038565269635,10728.604386100307,2.4737966558894993
