,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,4085.376884580129,3045.6391956674756,54.931643183164795,3336.1788065802216,265.4038565269635,35271.231705222825
Healthcare services,2597.1586896406807,1761.5018602293123,35.62761614682465,2475.8398092455795,180.9466594821422,32641.297464539715
Pharmaceuticals and chemical products,679.5626876385991,1126.9731952260217,17.000937266819708,747.0346169417802,76.96209408186195,1730.8815071985125
Medical appliances,161.96553345333234,133.73044021213823,2.1406897695204723,111.77858039286663,7.495102962959244,899.0527334845993
Release of anaesthetic gases,12.47005519626,0,0,0,0,NA
Release of pMDI propellants,12.8,0,0,0,0,NA
Private travel,621.4199186512448,23.4337,0.1624,1.5258,0.0,NA
