,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"4,085 (100·0%)","3,046 (100·0%)",55 (100·0%),"3,336 (100·0%)",265 (100·0%),"35,271 (100·0%)"
Health-care services,Top-down,"2,597 (63·6%)","1,762 (57·8%)",36 (64·9%),"2,476 (74·2%)",181 (68·2%),"32,641 (92·5%)"
Pharmaceuticals and chemical products,Top-down,680 (16·6%),"1,127 (37·0%)",17 (30·9%),747 (22·4%),77 (29·0%),"1,731 (4·9%)"
Medical appliances,Top-down,162 (4·0%),134 (4·4%),2 (3·9%),112 (3·4%),7 (2·8%),899 (2·5%)
Release of anaesthetic gases,Bottom-up,12 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,621 (15·2%),23 (0·8%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
