indicator,unit,hotspot_group,value,share_pct
blue_water_consumption,Mm3,Agricultural sector,46.60468773421418,84.8412409197646
blue_water_consumption,Mm3,Electricity sector,3.916263780234629,7.12934030969399
blue_water_consumption,Mm3,Other,2.494523202335924,4.541140693749428
blue_water_consumption,Mm3,Pharmaceutical and chemical industry,1.825957943338591,3.324054838938819
blue_water_consumption,Mm3,Transport,0.03686159317977921,0.06710447939244692
blue_water_consumption,Mm3,Fossil fuel industry,0.03360909769352157,0.061183492329648745
blue_water_consumption,Mm3,Mining of minerals and metals,0.019739832168041274,0.03593526613107233
climate_change,kt CO2eq,Other,1555.975193768337,38.08645414432205
climate_change,kt CO2eq,Transport,898.4097509010312,21.99086586826293
climate_change,kt CO2eq,Agricultural sector,439.3234105549419,10.753558924101439
climate_change,kt CO2eq,Fossil fuel industry,406.71049876471267,9.955274880508698
climate_change,kt CO2eq,Electricity sector,303.7889503841535,7.436007961242881
climate_change,kt CO2eq,Pharmaceutical and chemical industry,249.83099014336392,6.1152495155668145
climate_change,kt CO2eq,Operational impacts,163.39469914555332,3.9995012397086773
climate_change,kt CO2eq,Mining of minerals and metals,67.94339091801812,1.6630874662865096
land_use,km2,Agricultural sector,3293.713789712645,98.72713606405539
land_use,km2,Other,35.613098487525406,1.0674817074337453
land_use,km2,Transport,3.698851306342503,0.11087089514048051
land_use,km2,Electricity sector,1.3218136562839728,0.03962058789165756
land_use,km2,Fossil fuel industry,1.0452123615431828,0.03132962656203021
land_use,km2,Pharmaceutical and chemical industry,0.4195094677003518,0.012574549867438679
land_use,km2,Mining of minerals and metals,0.3665315881914442,0.010986569049251873
material_extraction,kt,Mining of minerals and metals,2754.6510809291326,90.4457456696682
material_extraction,kt,Other,189.96557902704555,6.237297553081074
material_extraction,kt,Agricultural sector,34.68046381750233,1.1386924579522244
material_extraction,kt,Pharmaceutical and chemical industry,34.22695883285896,1.1238021523215216
material_extraction,kt,Transport,17.10519059287744,0.5616289223362424
material_extraction,kt,Fossil fuel industry,8.891491469717593,0.29194172055462253
material_extraction,kt,Electricity sector,6.118430998340744,0.2008915240861235
waste_generation,kt,Other,81.65229095129379,30.765299351631093
waste_generation,kt,Pharmaceutical and chemical industry,63.06700665225628,23.76265645780059
waste_generation,kt,Operational impacts,42.71652604695465,16.09491535124506
waste_generation,kt,Agricultural sector,42.61424260718401,16.056376559416975
waste_generation,kt,Electricity sector,20.59989640118391,7.7617170566966065
waste_generation,kt,Fossil fuel industry,10.884132471331396,4.100969976005467
waste_generation,kt,Transport,3.617622465864255,1.3630632626081403
waste_generation,kt,Mining of minerals and metals,0.2521389308951255,0.09500198459607152
