indicator,unit,purchased_sector_group,value
land_use,km2,Food and catering,1336.721901592973
material_extraction,kt,Chemical,1242.854684914801
land_use,km2,Chemical,818.5843761498614
climate_change,kt CO2eq,Transport,788.8991075742291
climate_change,kt CO2eq,Chemical,766.7331558141477
material_extraction,kt,Minerals and Metals,731.8576556675669
climate_change,kt CO2eq,Private travel,621.4199186512448
climate_change,kt CO2eq,Services,588.8802837207829
land_use,km2,Services,571.2601150708371
climate_change,kt CO2eq,Food and catering,389.6491233215573
material_extraction,kt,Services,309.56477316975514
climate_change,kt CO2eq,Waste management and disposal,240.33547991591027
land_use,km2,Transport,217.729987355146
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",210.73574950018832
material_extraction,kt,"Electrical, electronic and measuring equipment",182.27035591810912
climate_change,kt CO2eq,Operational impact,163.39469914555332
land_use,km2,"Electrical, electronic and measuring equipment",143.94541699183642
material_extraction,kt,Transport,126.1337015716367
material_extraction,kt,Food and catering,112.13991348115343
waste_generation,kt,Chemical,83.2857305006931
material_extraction,kt,Non-metallic mineral products,77.90214539323786
material_extraction,kt,Construction,75.06766112808732
land_use,km2,Paper Products,74.04844008354281
climate_change,kt CO2eq,Electricity,71.51781710874799
material_extraction,kt,Metal Products,47.627462304783776
land_use,km2,Construction,42.91783367481443
waste_generation,kt,Operational impact,42.71652604695465
climate_change,kt CO2eq,Coal and Petroleum,34.11071401250331
land_use,km2,Electricity,33.55010418818117
climate_change,kt CO2eq,Construction,32.24877258848261
waste_generation,kt,Services,31.83355035134723
waste_generation,kt,Food and catering,30.02933978023128
waste_generation,kt,Waste management and disposal,29.592857660180744
land_use,km2,Waste management and disposal,27.82567772379893
material_extraction,kt,Paper Products,24.241897251493004
material_extraction,kt,General and special Machinery,23.62194690292941
material_extraction,kt,Private travel,23.4337
material_extraction,kt,Waste management and disposal,23.17713929655112
climate_change,kt CO2eq,Metal Products,22.49938949404383
climate_change,kt CO2eq,Natural gas and gaseous fuels,21.421435664211597
land_use,km2,Furniture and timber,20.301853473703076
material_extraction,kt,Electricity,19.681766941889443
climate_change,kt CO2eq,General and special Machinery,18.574458955527327
blue_water_consumption,Mm3,Chemical,18.303061617696457
climate_change,kt CO2eq,Paper Products,17.96048256231297
blue_water_consumption,Mm3,Food and catering,17.515657573473533
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",16.754996646794996
climate_change,kt CO2eq,Furniture and timber,15.186903842679365
climate_change,kt CO2eq,Minerals and Metals,13.786014851857319
waste_generation,kt,Electricity,12.578043341367426
waste_generation,kt,Transport,12.577105135448885
material_extraction,kt,Furniture and timber,11.527150114652452
climate_change,kt CO2eq,Non-metallic mineral products,11.494091832462685
land_use,km2,General and special Machinery,11.456636030738476
land_use,km2,Metal Products,10.327820431993809
blue_water_consumption,Mm3,Services,9.985677010660039
waste_generation,kt,"Electrical, electronic and measuring equipment",9.750963374221016
land_use,km2,Textile,8.100709918440636
climate_change,kt CO2eq,Textile,6.7834335606280955
waste_generation,kt,Paper Products,5.908068149822673
material_extraction,kt,Coal and Petroleum,5.077451571878042
land_use,km2,Coal and Petroleum,3.885858324237716
land_use,km2,Minerals and Metals,3.5493757847478213
land_use,km2,Non-metallic mineral products,3.3259440360770656
blue_water_consumption,Mm3,Transport,3.171719384099034
material_extraction,kt,Transport Equipment,3.130316939653028
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",2.77002389226804
material_extraction,kt,Textile,2.463778432218658
land_use,km2,Natural gas and gaseous fuels,2.4182711079722123
climate_change,kt CO2eq,Transport Equipment,2.3860318917838077
material_extraction,kt,Natural gas and gaseous fuels,2.020384925760601
waste_generation,kt,Construction,1.658725404639692
land_use,km2,Transport Equipment,1.5750038745036243
land_use,km2,Private travel,1.5258
waste_generation,kt,Metal Products,1.1076992727942114
waste_generation,kt,Coal and Petroleum,0.9305423748936082
waste_generation,kt,General and special Machinery,0.868442092057736
waste_generation,kt,Furniture and timber,0.8018651606719404
blue_water_consumption,Mm3,Waste management and disposal,0.7893609551115057
material_extraction,kt,"Steam, hot water supply and water distribution",0.7417587608591519
land_use,km2,"Steam, hot water supply and water distribution",0.7181763684838837
waste_generation,kt,Natural gas and gaseous fuels,0.5789566621497516
blue_water_consumption,Mm3,Electricity,0.39359452676059803
blue_water_consumption,Mm3,Paper Products,0.31787082674267864
blue_water_consumption,Mm3,Construction,0.3166673047831568
waste_generation,kt,Non-metallic mineral products,0.28712883222520824
waste_generation,kt,"Steam, hot water supply and water distribution",0.2683970838600778
blue_water_consumption,Mm3,Metal Products,0.24324658598709287
waste_generation,kt,Textile,0.236004619395658
blue_water_consumption,Mm3,Textile,0.23590323962692814
blue_water_consumption,Mm3,General and special Machinery,0.22145616584328923
blue_water_consumption,Mm3,Furniture and timber,0.194946326476004
blue_water_consumption,Mm3,Private travel,0.1624
waste_generation,kt,Transport Equipment,0.13480004355596126
waste_generation,kt,Minerals and Metals,0.12661180048703724
blue_water_consumption,Mm3,Coal and Petroleum,0.09219561248187569
blue_water_consumption,Mm3,Non-metallic mineral products,0.05986078455269911
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.043690923812134116
blue_water_consumption,Mm3,Minerals and Metals,0.039821879770034645
blue_water_consumption,Mm3,Transport Equipment,0.026627588982453418
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0135895785120473
