indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.802463017687476,8.742616713055686
blue_water_consumption,Mm3,imported,50.12918016547727,91.2573832869443
climate_change,kt CO2eq,domestic,1566.6802650245822,38.348488016806385
climate_change,kt CO2eq,imported,2518.6966195555297,61.651511983193615
land_use,km2,domestic,332.1470119458754,9.955911574366258
land_use,km2,imported,3004.0317946343566,90.04408842563375
material_extraction,kt,domestic,1832.2346047737876,60.15927977878021
material_extraction,kt,imported,1213.4045908936876,39.84072022121979
waste_generation,kt,domestic,159.05150791905942,59.928107300468206
waste_generation,kt,imported,106.35234860790416,40.0718926995318
