Region,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Unallocated,252.90240567336656,23.4337,0.1624,1.5258,0.0
Middle East,239.8087163130213,154.9720936060693,12.37428852963748,125.81655837568766,3.2559583556883624
Europe,986.5366727585488,521.1102105378062,5.565285775393518,934.8556643237858,56.73413756442902
Asia and Pacific,758.248968629994,358.6016456721882,25.994849909735212,952.0247608254302,27.982831253196444
America,171.31069665145768,109.7143344320331,3.6023889317353897,457.29572986578705,7.1525717928301376
Africa,109.88915952914095,45.572606645590305,2.429967018975667,532.5132812436661,11.226849641760145
Denmark,1566.6802650245822,1832.2346047737876,4.802463017687478,332.14701194587553,159.0515079190594
