Hotspot,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Agricultural sector,439.323410554943,34.68046381750235,46.60468773421416,3293.7137897126454,42.6142426071841
Electricity sector,303.7889503841535,6.118430998340751,3.916263780234635,1.3218136562839753,20.5998964011839
Fossil fuel industry,406.7104987647127,8.891491469717593,0.03360909769352363,1.0452123615431832,10.8841324713314
Mining of minerals and metals,67.94339091801817,2754.651080929135,0.01973983216804279,0.36653158819144527,0.252138930895131
Operational impacts,163.3946991455533,0.0,0.0,0.0,42.71652604695465
Other,1555.9751937683377,189.96557902704558,2.4945232023359596,35.61309848752543,81.65229095129385
Pharmaceutical and chemical industry,249.830990143364,34.22695883285896,1.8259579433386002,0.419509467700353,63.067006652256396
Transport,898.4097509010304,17.105190592877445,0.03686159317978068,3.6988513063425037,3.6176224658642617
