Contribution,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Food and food services,389.8369296830096,112.14668541667696,17.515867879796183,1336.7366875056475,30.030152858754253
Heat and electricity,71.53137620270893,19.68225585669162,0.39360971028881675,33.551171689716824,12.578102043362497
Individual travel,621.4199186512448,23.4337,0.1624,1.5258,0.0
"Medical, electrical equipment and machinery",211.13866313086376,182.28488420728618,2.7704750765801105,143.97713820570976,9.752707726314092
Operational impacts,163.3946991455533,0.0,0.0,0.0,42.71652604695465
Other,453.9944809277422,1028.4730568586263,2.5957442321763944,210.4872082544853,42.50205721169248
Pharmaceuticals and chemical products,767.8510968544982,1242.894995714627,18.30431349259178,818.6723911588813,83.29057045309273
Services,593.2015960731375,309.72059136675267,9.99051603369752,571.600330101818,31.852258803166052
Transport,813.0081239113515,127.00302624681373,3.198716758033959,219.62807966397338,12.681481383626934
