year,using_industry,product,origin,unit,value
2016,Q86,CPA_A02,AR,MIO_EUR,0.0
2016,Q86,CPA_A02,AT,MIO_EUR,0.0
2016,Q86,CPA_A02,AU,MIO_EUR,0.0
2016,Q86,CPA_A02,BE,MIO_EUR,0.0
2016,Q86,CPA_A02,BG,MIO_EUR,0.0
2016,Q86,CPA_A02,BR,MIO_EUR,0.0
2016,Q86,CPA_A02,CA,MIO_EUR,0.0
2016,Q86,CPA_A02,CH,MIO_EUR,0.0
2016,Q86,CPA_A02,CN,MIO_EUR,0.0
2016,Q86,CPA_A02,CY,MIO_EUR,0.0
2016,Q86,CPA_A02,CZ,MIO_EUR,0.0
2016,Q86,CPA_A02,DE,MIO_EUR,0.0
2016,Q86,CPA_A02,DK,MIO_EUR,0.0
2016,Q86,CPA_A02,EE,MIO_EUR,0.0
2016,Q86,CPA_A02,EL,MIO_EUR,0.0
2016,Q86,CPA_A02,ES,MIO_EUR,0.0
2016,Q86,CPA_A02,FI,MIO_EUR,0.0
2016,Q86,CPA_A02,FR,MIO_EUR,0.0
2016,Q86,CPA_A02,HR,MIO_EUR,0.0
2016,Q86,CPA_A02,HU,MIO_EUR,0.0
2016,Q86,CPA_A02,ID,MIO_EUR,0.0
2016,Q86,CPA_A02,IE,MIO_EUR,0.0
2016,Q86,CPA_A02,IN,MIO_EUR,0.0
2016,Q86,CPA_A02,IT,MIO_EUR,0.0
2016,Q86,CPA_A02,JP,MIO_EUR,0.0
2016,Q86,CPA_A02,KR,MIO_EUR,0.0
2016,Q86,CPA_A02,LT,MIO_EUR,0.0
2016,Q86,CPA_A02,LU,MIO_EUR,0.0
2016,Q86,CPA_A02,LV,MIO_EUR,0.0
2016,Q86,CPA_A02,ME,MIO_EUR,0.0
2016,Q86,CPA_A02,MK,MIO_EUR,0.0
2016,Q86,CPA_A02,MT,MIO_EUR,0.0
2016,Q86,CPA_A02,MX,MIO_EUR,0.0
2016,Q86,CPA_A02,NL,MIO_EUR,0.0
2016,Q86,CPA_A02,NO,MIO_EUR,0.0
2016,Q86,CPA_A02,PL,MIO_EUR,0.0
2016,Q86,CPA_A02,PT,MIO_EUR,0.0
2016,Q86,CPA_A02,RO,MIO_EUR,0.0
2016,Q86,CPA_A02,RS,MIO_EUR,0.0
2016,Q86,CPA_A02,RU,MIO_EUR,0.0
2016,Q86,CPA_A02,SA,MIO_EUR,0.0
2016,Q86,CPA_A02,SE,MIO_EUR,0.0
2016,Q86,CPA_A02,SI,MIO_EUR,0.0
2016,Q86,CPA_A02,SK,MIO_EUR,0.0
2016,Q86,CPA_A02,TR,MIO_EUR,0.0
2016,Q86,CPA_A02,UK,MIO_EUR,0.0
2016,Q86,CPA_A02,US,MIO_EUR,0.0
2016,Q86,CPA_A02,WRL_REST,MIO_EUR,0.0
2016,Q86,CPA_A02,ZA,MIO_EUR,0.0
2016,Q86,CPA_A03,NO,MIO_EUR,1.107
2016,Q86,CPA_A03,DK,MIO_EUR,0.274
2016,Q86,CPA_A03,WRL_REST,MIO_EUR,0.077
2016,Q86,CPA_A03,UK,MIO_EUR,0.04
2016,Q86,CPA_A03,US,MIO_EUR,0.038
2016,Q86,CPA_A03,DE,MIO_EUR,0.021
2016,Q86,CPA_A03,EE,MIO_EUR,0.015
2016,Q86,CPA_A03,SE,MIO_EUR,0.015
2016,Q86,CPA_A03,FR,MIO_EUR,0.014
2016,Q86,CPA_A03,PL,MIO_EUR,0.009
2016,Q86,CPA_A03,NL,MIO_EUR,0.008
2016,Q86,CPA_A03,FI,MIO_EUR,0.006
2016,Q86,CPA_A03,AR,MIO_EUR,0.005
2016,Q86,CPA_A03,CA,MIO_EUR,0.003
2016,Q86,CPA_A03,CN,MIO_EUR,0.003
2016,Q86,CPA_A03,ES,MIO_EUR,0.003
2016,Q86,CPA_A03,IE,MIO_EUR,0.003
2016,Q86,CPA_A03,RU,MIO_EUR,0.003
2016,Q86,CPA_A03,IT,MIO_EUR,0.002
2016,Q86,CPA_A03,TR,MIO_EUR,0.002
2016,Q86,CPA_A03,AU,MIO_EUR,0.001
2016,Q86,CPA_A03,BE,MIO_EUR,0.001
2016,Q86,CPA_A03,BR,MIO_EUR,0.001
2016,Q86,CPA_A03,CZ,MIO_EUR,0.001
2016,Q86,CPA_A03,EL,MIO_EUR,0.001
2016,Q86,CPA_A03,ID,MIO_EUR,0.001
2016,Q86,CPA_A03,IN,MIO_EUR,0.001
2016,Q86,CPA_A03,JP,MIO_EUR,0.001
2016,Q86,CPA_A03,LT,MIO_EUR,0.001
2016,Q86,CPA_A03,LV,MIO_EUR,0.001
2016,Q86,CPA_A03,MT,MIO_EUR,0.001
2016,Q86,CPA_A03,AL,MIO_EUR,0.0
2016,Q86,CPA_A03,AT,MIO_EUR,0.0
2016,Q86,CPA_A03,BG,MIO_EUR,0.0
2016,Q86,CPA_A03,CH,MIO_EUR,0.0
2016,Q86,CPA_A03,CY,MIO_EUR,0.0
2016,Q86,CPA_A03,HR,MIO_EUR,0.0
2016,Q86,CPA_A03,HU,MIO_EUR,0.0
2016,Q86,CPA_A03,KR,MIO_EUR,0.0
2016,Q86,CPA_A03,LU,MIO_EUR,0.0
2016,Q86,CPA_A03,ME,MIO_EUR,0.0
2016,Q86,CPA_A03,MK,MIO_EUR,0.0
2016,Q86,CPA_A03,MX,MIO_EUR,0.0
2016,Q86,CPA_A03,PT,MIO_EUR,0.0
2016,Q86,CPA_A03,RO,MIO_EUR,0.0
2016,Q86,CPA_A03,RS,MIO_EUR,0.0
2016,Q86,CPA_A03,SA,MIO_EUR,0.0
2016,Q86,CPA_A03,SI,MIO_EUR,0.0
2016,Q86,CPA_A03,SK,MIO_EUR,0.0
2016,Q86,CPA_A03,ZA,MIO_EUR,0.0
2016,Q86,CPA_B,DK,MIO_EUR,1.611
2016,Q86,CPA_B,NO,MIO_EUR,0.464
2016,Q86,CPA_B,WRL_REST,MIO_EUR,0.066
2016,Q86,CPA_B,RU,MIO_EUR,0.045
2016,Q86,CPA_B,UK,MIO_EUR,0.019
2016,Q86,CPA_B,SE,MIO_EUR,0.009
2016,Q86,CPA_B,DE,MIO_EUR,0.005
2016,Q86,CPA_B,NL,MIO_EUR,0.005
2016,Q86,CPA_B,US,MIO_EUR,0.005
2016,Q86,CPA_B,ZA,MIO_EUR,0.005
2016,Q86,CPA_B,FI,MIO_EUR,0.003
2016,Q86,CPA_B,PL,MIO_EUR,0.003
2016,Q86,CPA_B,CN,MIO_EUR,0.001
2016,Q86,CPA_B,CZ,MIO_EUR,0.001
2016,Q86,CPA_B,FR,MIO_EUR,0.001
2016,Q86,CPA_B,IT,MIO_EUR,0.001
2016,Q86,CPA_B,AL,MIO_EUR,0.0
2016,Q86,CPA_B,AR,MIO_EUR,0.0
2016,Q86,CPA_B,AT,MIO_EUR,0.0
2016,Q86,CPA_B,AU,MIO_EUR,0.0
2016,Q86,CPA_B,BE,MIO_EUR,0.0
2016,Q86,CPA_B,BG,MIO_EUR,0.0
2016,Q86,CPA_B,BR,MIO_EUR,0.0
2016,Q86,CPA_B,CA,MIO_EUR,0.0
2016,Q86,CPA_B,CH,MIO_EUR,0.0
2016,Q86,CPA_B,CY,MIO_EUR,0.0
2016,Q86,CPA_B,EE,MIO_EUR,0.0
2016,Q86,CPA_B,EL,MIO_EUR,0.0
2016,Q86,CPA_B,ES,MIO_EUR,0.0
2016,Q86,CPA_B,HR,MIO_EUR,0.0
2016,Q86,CPA_B,HU,MIO_EUR,0.0
2016,Q86,CPA_B,ID,MIO_EUR,0.0
2016,Q86,CPA_B,IE,MIO_EUR,0.0
2016,Q86,CPA_B,IN,MIO_EUR,0.0
2016,Q86,CPA_B,JP,MIO_EUR,0.0
2016,Q86,CPA_B,KR,MIO_EUR,0.0
2016,Q86,CPA_B,LT,MIO_EUR,0.0
2016,Q86,CPA_B,LU,MIO_EUR,0.0
2016,Q86,CPA_B,LV,MIO_EUR,0.0
2016,Q86,CPA_B,ME,MIO_EUR,0.0
2016,Q86,CPA_B,MK,MIO_EUR,0.0
2016,Q86,CPA_B,MT,MIO_EUR,0.0
2016,Q86,CPA_B,MX,MIO_EUR,0.0
2016,Q86,CPA_B,PT,MIO_EUR,0.0
2016,Q86,CPA_B,RO,MIO_EUR,0.0
2016,Q86,CPA_B,RS,MIO_EUR,0.0
2016,Q86,CPA_B,SA,MIO_EUR,0.0
2016,Q86,CPA_B,SI,MIO_EUR,0.0
2016,Q86,CPA_B,SK,MIO_EUR,0.0
2016,Q86,CPA_B,TR,MIO_EUR,0.0
2016,Q86,CPA_C10-12,DK,MIO_EUR,34.932
2016,Q86,CPA_C10-12,DE,MIO_EUR,9.217
2016,Q86,CPA_C10-12,WRL_REST,MIO_EUR,7.116
2016,Q86,CPA_C10-12,NL,MIO_EUR,3.795
2016,Q86,CPA_C10-12,SE,MIO_EUR,2.762
2016,Q86,CPA_C10-12,IT,MIO_EUR,1.687
2016,Q86,CPA_C10-12,PL,MIO_EUR,1.566
2016,Q86,CPA_C10-12,FR,MIO_EUR,1.205
2016,Q86,CPA_C10-12,US,MIO_EUR,0.981
2016,Q86,CPA_C10-12,NO,MIO_EUR,0.893
2016,Q86,CPA_C10-12,BE,MIO_EUR,0.871
2016,Q86,CPA_C10-12,UK,MIO_EUR,0.867
2016,Q86,CPA_C10-12,ES,MIO_EUR,0.784
2016,Q86,CPA_C10-12,IE,MIO_EUR,0.717
2016,Q86,CPA_C10-12,LU,MIO_EUR,0.641
2016,Q86,CPA_C10-12,MX,MIO_EUR,0.551
2016,Q86,CPA_C10-12,CN,MIO_EUR,0.487
2016,Q86,CPA_C10-12,AR,MIO_EUR,0.474
2016,Q86,CPA_C10-12,AT,MIO_EUR,0.373
2016,Q86,CPA_C10-12,FI,MIO_EUR,0.33
