exiobase_position,exiobase_code,exiobase_name,exiobase_code1,isic_rev3_division,isic_rev3_division_bronze_csv,nace_rev2_candidates_developer,dst_nace_prefix,dst_industry_code,dst_industry_name,mapping_type,confidence,basis,mapping_group,dst_output_share,dst_import_share,mapping_group_label,mapping_group_type
0,PARI,Cultivation of paddy rice,i01.a,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
1,WHEA,Cultivation of wheat,i01.b,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
2,OCER,Cultivation of cereal grains nec,i01.c,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
3,FVEG,"Cultivation of vegetables, fruit, nuts",i01.d,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
4,OILS,Cultivation of oil seeds,i01.e,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
5,SUGB,"Cultivation of sugar cane, sugar beet",i01.f,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
6,FIBR,Cultivation of plant-based fibers,i01.g,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
7,OTCR,Cultivation of crops nec,i01.h,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
8,CATL,Cattle farming,i01.i,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
9,PIGS,Pigs farming,i01.j,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
