producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,0.0444013714799586,99.78648849374645
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,9.500488340166165e-05,0.21351150625355578
Food and catering,Scope 3,blue_water_consumption,Mm3,56.500199753379746,81.63838887029034
Electricity,Scope 3,blue_water_consumption,Mm3,5.646005166128051,8.158037800361193
Chemical,Scope 3,blue_water_consumption,Mm3,2.25893031102719,3.263978392421387
Metal Products,Scope 3,blue_water_consumption,Mm3,2.0397151065633126,2.947229492657865
Paper Products,Scope 3,blue_water_consumption,Mm3,0.5807149518525079,0.8390878840971013
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.38400188281791864,0.5548528177466778
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.37611828713425804,0.5434616358937264
Services,Scope 3,blue_water_consumption,Mm3,0.35700236793697615,0.5158406212450589
Textile,Scope 3,blue_water_consumption,Mm3,0.3377738697609636,0.48805693873885536
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.3234606745748916,0.46737548628952985
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.12896975211762038,0.18635124870073447
Private travel,Scope 3,blue_water_consumption,Mm3,0.0864,0.12484127187481589
Transport,Scope 3,blue_water_consumption,Mm3,0.049183861950757385,0.07106685048203605
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0358989929188169,0.05187124924780221
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.03324720051448687,0.04803961572344414
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.0318802010878711,0.046064408002716634
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.021769039843948325,0.03145456737976912
Construction,Scope 3,blue_water_consumption,Mm3,0.006907589887196846,0.00998092948040822
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0066579782674215954,0.009620260127543924
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0030449109700741695,0.004399659239000448
Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,163.5946084095433,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,14.7898229028541,59.055419379962686
Electricity,Scope 2,climate_change,kt CO2eq,10.254149450802979,40.944580620037314
Transport,Scope 3,climate_change,kt CO2eq,1165.352992854029,22.18004584283064
Food and catering,Scope 3,climate_change,kt CO2eq,571.8940447592813,10.884801607568845
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,488.10882753129044,9.290126028183142
Electricity,Scope 3,climate_change,kt CO2eq,477.888996385336,9.095613013917728
Waste management and disposal,Scope 3,climate_change,kt CO2eq,462.7735092792607,8.807921474096489
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,343.61536784266127,6.53999659998813
Services,Scope 3,climate_change,kt CO2eq,314.03345718038196,5.976967081351916
Private travel,Scope 3,climate_change,kt CO2eq,309.7669,5.895762129348344
Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,296.7574202930922,5.648154015703817
Chemical,Scope 3,climate_change,kt CO2eq,209.4613955574973,3.986657591525583
Metal Products,Scope 3,climate_change,kt CO2eq,202.4634739163814,3.853466855537204
Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,123.24569095604267,2.3457227913763736
Minerals and Metals,Scope 3,climate_change,kt CO2eq,107.95085673480935,2.0546177560216976
Construction,Scope 3,climate_change,kt CO2eq,47.607035079445446,0.9060998916022099
"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,27.02117207727542,0.514291239715429
Furniture and timber,Scope 3,climate_change,kt CO2eq,25.82588731592332,0.4915415055451
Paper Products,Scope 3,climate_change,kt CO2eq,23.663917565261166,0.4503929535831228
Textile,Scope 3,climate_change,kt CO2eq,19.204222306966596,0.36551202404453265
General and special Machinery,Scope 3,climate_change,kt CO2eq,13.995407102029091,0.26637317020300094
Operational impact,Scope 3,climate_change,kt CO2eq,12.5064,0.23803304838083772
Transport Equipment,Scope 3,climate_change,kt CO2eq,10.923369014360077,0.20790337947586165
Private travel,Outside protocol,land_use,km2,0.9870380080591756,100.0
Electricity,Scope 2,land_use,km2,0.10312772877769816,88.33319140395447
"Steam, hot water supply and water distribution",Scope 2,land_use,km2,0.013620831008947756,11.666808596045525
Food and catering,Scope 3,land_use,km2,4995.875767209104,98.0150013678856
Furniture and timber,Scope 3,land_use,km2,53.1160007946425,1.0420925445573819
Textile,Scope 3,land_use,km2,12.17802340577004,0.23892287086263997
Services,Scope 3,land_use,km2,11.988717143039777,0.23520883663419848
Paper Products,Scope 3,land_use,km2,7.383931300613331,0.14486670010497413
Transport,Scope 3,land_use,km2,4.972038971529959,0.09754734290919606
Construction,Scope 3,land_use,km2,3.0540316411745745,0.0599176059284828
Electricity,Scope 3,land_use,km2,1.7901985348150065,0.03512223282059356
Waste management and disposal,Scope 3,land_use,km2,1.5098241411876479,0.02962151625848866
Coal and Petroleum,Scope 3,land_use,km2,1.2943624901171318,0.025394334677430026
Private travel,Scope 3,land_use,km2,0.8319,0.01632119841192424
Minerals and Metals,Scope 3,land_use,km2,0.7287093453367578,0.014296682064989356
General and special Machinery,Scope 3,land_use,km2,0.6866355068753623,0.013471227724948864
Chemical,Scope 3,land_use,km2,0.6246321350459865,0.012254772220879196
Metal Products,Scope 3,land_use,km2,0.4505068924862189,0.008838577206643827
Non-metallic mineral products,Scope 3,land_use,km2,0.23819076276974632,0.004673108184941227
