producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
RUS,Russia,Europe,Scope 3,blue_water_consumption,Mm3,0.639265116247601,0.9236883122401911
GRC,Greece,Europe,Scope 3,blue_water_consumption,Mm3,0.5663141012093712,0.818279776338207
DEU,Germany,Europe,Scope 3,blue_water_consumption,Mm3,0.5137933566711649,0.742391390366425
MEX,Mexico,America,Scope 3,blue_water_consumption,Mm3,0.4997756599800744,0.7221369102313425
POL,Poland,Europe,Scope 3,blue_water_consumption,Mm3,0.422250259353668,0.610118743370171
FRA,France,Europe,Scope 3,blue_water_consumption,Mm3,0.40768928352397166,0.5890792671859378
ITA,Italy,Europe,Scope 3,blue_water_consumption,Mm3,0.40260952095806307,0.5817394058485524
NLD,Netherlands,Europe,Scope 3,blue_water_consumption,Mm3,0.33410430059067603,0.4827546970438169
BEL,Belgium,Europe,Scope 3,blue_water_consumption,Mm3,0.2890269741163142,0.41762147054178406
BRA,Brazil,America,Scope 3,blue_water_consumption,Mm3,0.28231603231145036,0.4079246822270032
NOR,Norway,Europe,Scope 3,blue_water_consumption,Mm3,0.2742741950029924,0.39630485354878275
PRT,Portugal,Europe,Scope 3,blue_water_consumption,Mm3,0.2642823176667529,0.38186736888358275
SWE,Sweden,Europe,Scope 3,blue_water_consumption,Mm3,0.24184030482758306,0.34944040793134995
GBR,United Kingdom,Europe,Scope 3,blue_water_consumption,Mm3,0.2204194039165248,0.3184888741993949
ROU,Romania,Europe,Scope 3,blue_water_consumption,Mm3,0.1379723943042026,0.1993593656082205
ZAF,South Africa,Africa,Scope 3,blue_water_consumption,Mm3,0.1140393536152145,0.16477798552205158
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.093259500236692,0.13475271555507312
IRL,Ireland,Europe,Scope 3,blue_water_consumption,Mm3,0.09325484378268144,0.13474598734163443
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.08913942817192974,0.12879953225899884
IDN,Indonesia,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.08587551169686886,0.1240834271196497
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.08288927584791113,0.11976854886152408
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.08161359424273776,0.11792528828169596
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.06632732345320186,0.09583781736053266
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.06607264148208737,0.09546982174482067
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.060577078612027,0.08752916134706198
CZE,Czech Republic,Europe,Scope 3,blue_water_consumption,Mm3,0.06008054434900131,0.08681170800301624
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.05179967831815526,0.07484650143454659
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.04476584214853621,0.06468315590706597
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.03992123121597401,0.05768307036818052
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.036784204987653,0.05315031175419613
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.031816318569643204,0.04597210273852522
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.029489689627129303,0.04261030509542113
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.016882834898223037,0.024394381730864483
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.008781830194598012,0.012689060774100433
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.008217471639680094,0.011873606609871428
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.003330954703604924,0.00481297015920647
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.0025001589148204305,0.0036125349399923836
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,163.5946084095433,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,6.496692523916687,25.941142372200385
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.9689652254210115,15.847985971927644
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,1.7681129235095674,7.060033841841293
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,1.6502054109089794,6.5892318822497264
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.6333294247359667,6.521846461379988
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,1.541921096038718,6.156855127711227
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,1.0663861535391848,4.25805514588609
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,0.9479171294577929,3.7850110839919218
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.8908057687763888,3.5569667471155304
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.7560220188816219,3.018778363933239
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.707091506524953,2.8233999644297603
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.5513865260380406,2.201673593356781
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.31614187699924357,1.2623471729439062
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.30622617730883583,1.2227540143571463
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.27350407170798213,1.0920954066140525
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.2640828622212033,1.0544767359266003
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.25995655480650914,1.0380004862469379
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.2446767700954584,0.9769886607454634
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.20781357862516256,0.8297947932961055
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.2057489218179104,0.8215506666132605
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.1853285225344418,0.7400124865070734
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.17195276683206728,0.6866034046190665
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.16193811962591165,0.6466151508998309
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.11818310231685626,0.4719023829284751
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.10635506599564598,0.42467330858602925
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.0508991144907604,0.20323898210711686
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.04791682304418189,0.19133076162011006
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,0.04273494794870603,0.17063965470503967
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.0332258059430161,0.1326698715116744
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.015509064483159269,0.061927334306829875
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.013076733194487619,0.05221509195835729
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.009577574686411324,0.03824303329824091
MLT,Malta,Europe,Scope 2,climate_change,kt CO2eq,0.008882592019449109,0.035467983648975784
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.007349423982254726,0.029346079281953513
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.005574815613034222,0.022260109276235295
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.004689936834658109,0.01872680886414273
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.002396508926337697,0.009569204487592974
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,0.0013645875373656474,0.0054487663462317384
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,2.7907795471481317e-05,0.00011143517920153766
CYP,Cyprus,Middle East,Scope 2,climate_change,kt CO2eq,1.253790877610853e-06,5.006357856914686e-06
FRA,France,Europe,Scope 2,climate_change,kt CO2eq,1.1074920045982683e-06,4.422189854544162e-06
USA,United States,America,Scope 2,climate_change,kt CO2eq,4.7641647870979224e-08,1.902319935440365e-07
CHN,China,Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.289486103204513e-09,1.313484161678593e-08
TWN,Taiwan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.0324940480456433e-09,1.2108678308786024e-08
IND,India,Asia and Pacific,Scope 2,climate_change,kt CO2eq,2.2131763558225554e-09,8.837161791146018e-09
JPN,Japan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.0619593473444642e-09,4.240379011556408e-09
DNK,Denmark,Denmark,Scope 3,climate_change,kt CO2eq,1818.9434214225766,34.61976647424412
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,climate_change,kt CO2eq,461.970404028064,8.79263605294308
CHN,China,Asia and Pacific,Scope 3,climate_change,kt CO2eq,342.41003429954935,6.517055608369231
RoW Middle East,RoW Middle East,Middle East,Scope 3,climate_change,kt CO2eq,279.35624531507716,5.316959209410617
RUS,Russia,Europe,Scope 3,climate_change,kt CO2eq,272.9244619489536,5.194543726045015
DEU,Germany,Europe,Scope 3,climate_change,kt CO2eq,271.11981977897483,5.160196153845448
IND,India,Asia and Pacific,Scope 3,climate_change,kt CO2eq,132.13935445334096,2.5149949906931472
RoW Africa,RoW Africa,Africa,Scope 3,climate_change,kt CO2eq,120.59250522308265,2.2952249752232827
RoW Europe,RoW Europe,Europe,Scope 3,climate_change,kt CO2eq,96.34263834198136,1.833679707477324
JPN,Japan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,90.80212485269774,1.72822767368268
USA,United States,America,Scope 3,climate_change,kt CO2eq,88.12113856383618,1.6772007323562435
POL,Poland,Europe,Scope 3,climate_change,kt CO2eq,86.57485023417475,1.6477703827124592
NLD,Netherlands,Europe,Scope 3,climate_change,kt CO2eq,80.99501929943864,1.5415700239485515
GBR,United Kingdom,Europe,Scope 3,climate_change,kt CO2eq,79.05280443239405,1.5046040444969744
NOR,Norway,Europe,Scope 3,climate_change,kt CO2eq,79.01172579427569,1.503822198925535
RoW America,RoW America,America,Scope 3,climate_change,kt CO2eq,77.62912539209857,1.477507305077362
FRA,France,Europe,Scope 3,climate_change,kt CO2eq,63.133808496480746,1.201619402250795
AUS,Australia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,57.637276898049485,1.0970044713437244
KOR,South Korea,Asia and Pacific,Scope 3,climate_change,kt CO2eq,51.46036397220284,0.979439911332668
ITA,Italy,Europe,Scope 3,climate_change,kt CO2eq,50.36168993889311,0.9585289593940136
CAN,Canada,America,Scope 3,climate_change,kt CO2eq,48.75053221086891,0.9278639570413028
GRC,Greece,Europe,Scope 3,climate_change,kt CO2eq,48.25955129902976,0.9185191669224935
SWE,Sweden,Europe,Scope 3,climate_change,kt CO2eq,43.43304503598122,0.8266567605687346
BEL,Belgium,Europe,Scope 3,climate_change,kt CO2eq,42.60603951220539,0.810916447940628
ZAF,South Africa,Africa,Scope 3,climate_change,kt CO2eq,38.95281515964924,0.7413849977184975
ESP,Spain,Europe,Scope 3,climate_change,kt CO2eq,38.69043214926876,0.7363910883757444
TUR,Turkey,Middle East,Scope 3,climate_change,kt CO2eq,36.5598177430148,0.695839319517819
CZE,Czech Republic,Europe,Scope 3,climate_change,kt CO2eq,36.21172174710073,0.689214043576174
BRA,Brazil,America,Scope 3,climate_change,kt CO2eq,32.56096224525323,0.6197295066086959
TWN,Taiwan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,30.455371755420927,0.579654015425263
IRL,Ireland,Europe,Scope 3,climate_change,kt CO2eq,25.33729950822282,0.4822422631357208
IDN,Indonesia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,23.820420105587708,0.45337165063049634
FIN,Finland,Europe,Scope 3,climate_change,kt CO2eq,20.80916045628515,0.39605864978375377
MEX,Mexico,America,Scope 3,climate_change,kt CO2eq,20.529556032551902,0.3907369670195696
PRT,Portugal,Europe,Scope 3,climate_change,kt CO2eq,19.502074375699685,0.37118101239346407
BGR,Bulgaria,Europe,Scope 3,climate_change,kt CO2eq,17.834328582072427,0.339438975102044
CHE,Switzerland,Europe,Scope 3,climate_change,kt CO2eq,16.476733761276705,0.31360000995939363
AUT,Austria,Europe,Scope 3,climate_change,kt CO2eq,15.796041689665826,0.30064446649251225
HUN,Hungary,Europe,Scope 3,climate_change,kt CO2eq,14.602101098445788,0.2779203157765808
SVK,Slovakia,Europe,Scope 3,climate_change,kt CO2eq,11.59280616277856,0.2206447091260749
EST,Estonia,Europe,Scope 3,climate_change,kt CO2eq,11.030401031356915,0.2099405090479293
ROU,Romania,Europe,Scope 3,climate_change,kt CO2eq,11.019077959369,0.2097249981621173
LVA,Latvia,Europe,Scope 3,climate_change,kt CO2eq,10.971884974402146,0.20882677884449982
HRV,Croatia,Europe,Scope 3,climate_change,kt CO2eq,9.088490591758639,0.1729803237331984
LUX,Luxembourg,Europe,Scope 3,climate_change,kt CO2eq,8.207652506651163,0.15621542140094677
CYP,Cyprus,Middle East,Scope 3,climate_change,kt CO2eq,7.029937364713224,0.13380008802285565
LTU,Lithuania,Europe,Scope 3,climate_change,kt CO2eq,6.1019705696517565,0.1161381897128162
