Component,kt_CO2eq
Scope 1 (MRIO only),1.3861095859357717
  + Anaesthetic (bottom-up),9.514
  + pMDI (bottom-up),34.605
Scope 1 (Total),45.50510958593577
Scope 2 (MRIO),460.59794450421714
Scope 3 (MRIO only),3767.159136293954
  + Commute (bottom-up),311.9459
  + Visitor (bottom-up),228.0941
Scope 3 (Total),4307.199136293954
Grand Total,4813.302190384107
