producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.019385673415449552,54.83013114915191
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.012976325905406,36.70203433121485
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0018642134158374354,5.272711651013063
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.000687829363316369,1.9454456593093075
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00033905925199496055,0.9589898094229252
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,5.172311904435043e-05,0.14629284935671988
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.7305855986291895e-05,0.07723144988479214
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.3743813414808975e-05,0.06715662518473198
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.289456236380334e-09,6.475461698479582e-06
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,22.72877315587699,45.344090493911665
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,9.655376839332325,19.262556678836752
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.5574228170906355,7.097087952657684
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,3.436410820994806,6.855668019246128
America,Food and catering,Scope 3,blue_water_consumption,Mm3,3.1329895772475456,6.250340127595561
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,2.2504100568268908,4.489586682279073
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.0784833758201855,2.151583257661446
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,0.7519275504989102,1.5001016843653014
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.5270774959241322,1.0515239651775228
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.4999012853277904,0.9973072001937298
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.25711996048332186,0.5129564484624238
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.2096221339322815,0.4181978915168371
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.18594849815475234,0.3709687922753489
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.17835318146788456,0.35581607264471643
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.14632611752007937,0.29192181509091314
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.13402754071857584,0.2673860526188634
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.12023496941296632,0.23986975875046448
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.1197889103128281,0.23897986715519065
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.11326768047032973,0.22596995966560032
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.1066090385289291,0.21268591390181232
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.1053840377972205,0.21024202730693292
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0835713236142356,0.1667254820430126
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.057583152127313235,0.11487886491182793
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.056717417632311334,0.11315171743159022
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.03723383144265824,0.07428180178455411
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0352003783352576,0.07022504601138739
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.03359576815074707,0.06702383541744542
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.03359075080178416,0.06701382576475305
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.028418132493101392,0.056694409442947374
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.02835527680915071,0.056569011833425296
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.027077177343414166,0.05401919282484442
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.024783938422519768,0.04944416220440336
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.023280862562968643,0.046445513428806026
Asia and Pacific,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.02197485110692683,0.043840009768634516
Africa,Services,Scope 3,blue_water_consumption,Mm3,0.021376404000695248,0.04264610284041266
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.019983024585039186,0.039866299377966416
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.019861328035257253,0.03962351375428738
America,Textile,Scope 3,blue_water_consumption,Mm3,0.01434917036820068,0.028626713603325683
Africa,Textile,Scope 3,blue_water_consumption,Mm3,0.013541765981060808,0.02701593517087056
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.013043550753772903,0.02602199167041611
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.012623606224655942,0.025184198860390247
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.012289925982643293,0.0245185040168505
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.012180665821420819,0.024300529091240836
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.011395127352264483,0.022733373346071912
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.011349292814372447,0.022641933063762366
Europe,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.01075246374801466,0.02145125413847569
Asia and Pacific,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.010714046952568071,0.021374612313715964
Africa,Electricity,Scope 3,blue_water_consumption,Mm3,0.010631847723104765,0.021210624170856163
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.01017091353714909,0.020291056656306553
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.00828696850882862,0.0165325707378693
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.007644605867807309,0.015251051954403993
Denmark,Textile,Scope 3,blue_water_consumption,Mm3,0.0068841412205172285,0.013733918691308097
Europe,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.006787116838365787,0.01354035424617863
Middle East,Chemical,Scope 3,blue_water_consumption,Mm3,0.006624572047508679,0.01321607604359413
Denmark,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.006475374303066938,0.012918425309035916
Denmark,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0064402394620798,0.012848331010576254
Asia and Pacific,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.006152552219831278,0.012274392582091924
Africa,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.005477684732000165,0.010928026360310164
Africa,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0048910500584340415,0.009757685332986805
America,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.004692578167380508,0.009361732268265307
America,Services,Scope 3,blue_water_consumption,Mm3,0.004673831752516019,0.009324333015511008
Europe,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.004539224506665355,0.009055790446357402
Middle East,Services,Scope 3,blue_water_consumption,Mm3,0.004499388099123013,0.008976316483721401
Asia and Pacific,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.004083485195001624,0.008146586749000342
Asia and Pacific,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00392676036245499,0.00783391941139703
America,Transport,Scope 3,blue_water_consumption,Mm3,0.0038687428177060323,0.007718173929611045
Africa,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.002859379110428224,0.005704484982557575
Denmark,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0027661734293313997,0.0055185388776263335
Africa,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0027422804927021618,0.005470872271371287
America,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.002690936409365506,0.00536844040031615
America,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.0024481445574156342,0.004884068646922469
Africa,Transport,Scope 3,blue_water_consumption,Mm3,0.0024249876535095433,0.004837870432039713
Africa,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.002213756379264452,0.004416462292285497
America,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0020169011759024066,0.0040237345328842855
Europe,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0018583459363524764,0.003707415518165408
