indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
material_extraction,kt per MEUR,Minerals and Metals,93.70685111927139,9.290488941038713,870.582464023152
material_extraction,kt per MEUR,Non-metallic mineral products,5.999305435026626,16.058621479111032,96.34057511866612
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",2.6385735080348947,7.967711287151797,21.023391921949344
climate_change,kt CO2eq per MEUR,Minerals and Metals,1.8277036732446326,9.290488941038713,16.980260763775092
land_use,km2 per MEUR,Food and catering,1.6658101585786107,1026.3267093148131,1709.6654583971724
climate_change,kt CO2eq per MEUR,Coal and Petroleum,1.4403900370167606,30.35573325251655,43.72409574326323
land_use,km2 per MEUR,Paper Products,1.3679752654243809,69.22233759318463,94.69444564233285
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,0.9846774811273609,28.291259280949138,27.857765926686067
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,0.9388770049250889,16.058621479111032,15.077070437533466
material_extraction,kt per MEUR,Metal Products,0.9151633923997821,82.83194813950317,75.80476665843054
climate_change,kt CO2eq per MEUR,Waste management and disposal,0.9125211385504248,359.81081538525245,328.33497491810726
climate_change,kt CO2eq per MEUR,Electricity,0.8389772795720782,127.76970895946383,107.19588283452715
land_use,km2 per MEUR,Textile,0.7215710782167474,14.639895566419113,10.56372522884162
material_extraction,kt per MEUR,Chemical,0.7199843289803206,1228.1837849718759,884.2730782874864
material_extraction,kt per MEUR,Construction,0.6779624512584114,974.9021576762251,660.9470565552879
climate_change,kt CO2eq per MEUR,Textile,0.6189691898774379,14.639895566419113,9.061644298636732
material_extraction,kt per MEUR,Paper Products,0.5528580155461357,69.22233759318463,38.270124193232725
climate_change,kt CO2eq per MEUR,Food and catering,0.5356256737703317,1026.3267093148131,549.7269351852341
land_use,km2 per MEUR,Minerals and Metals,0.5350500811533125,9.290488941038713,4.970876861856716
material_extraction,kt per MEUR,Transport Equipment,0.522723909279908,26.375446929359775,13.787076727919686
climate_change,kt CO2eq per MEUR,Transport,0.5134916475397853,2191.4019069101473,1125.2665756011186
material_extraction,kt per MEUR,Electricity,0.5037413872550097,127.76970895946383,64.36289044040915
land_use,km2 per MEUR,Electricity,0.4989189518185223,127.76970895946383,63.74672926821335
land_use,km2 per MEUR,Chemical,0.471157376855635,1228.1837849718759,578.6678504239743
