indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,34.150723822472195,51.92935536801696
blue_water_consumption,Mm3,imported,31.613088534623728,48.070644631983036
climate_change,kt CO2eq,domestic,4425.32117664879,81.21508177365364
climate_change,kt CO2eq,imported,1023.5696943622814,18.784918226346353
land_use,km2,domestic,2877.6348967898743,59.46902220313351
land_use,km2,imported,1961.2455659836455,40.53097779686648
material_extraction,kt,domestic,4198.208751259944,82.31218423741281
material_extraction,kt,imported,902.1403527694941,17.687815762587206
waste_generation,kt,domestic,259.94392619847287,79.49295414232466
waste_generation,kt,imported,67.05854716925188,20.507045857675333
