,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"5,748 (100·0%)","5,111 (100·0%)",66 (100·0%),"4,840 (100·0%)",334 (100·0%),"41,201 (100·0%)"
Health-care services,Top-down,"4,200 (73·1%)","4,141 (81·0%)",53 (81·0%),"4,199 (86·8%)",278 (83·5%),"38,760 (94·1%)"
Pharmaceuticals and chemical products,Top-down,552 (9·6%),791 (15·5%),11 (16·2%),530 (10·9%),48 (14·5%),"1,621 (3·9%)"
Medical appliances,Top-down,172 (3·0%),144 (2·8%),2 (2·5%),108 (2·2%),7 (2·0%),820 (2·0%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,11 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,800 (13·9%),35 (0·7%),0 (0·4%),2 (<0·1%),0 (<0·1%),NA
