indicator,unit,purchased_world_region,value
climate_change,kt CO2eq,Denmark,4425.32117664879
material_extraction,kt,Denmark,4198.208751259944
land_use,km2,Denmark,2877.6348967898743
land_use,km2,Europe,720.4078942395212
land_use,km2,Asia and Pacific,572.8952858067929
climate_change,kt CO2eq,Europe,512.2027109449286
material_extraction,kt,Europe,485.45841440553164
land_use,km2,Africa,302.0083110666093
climate_change,kt CO2eq,Asia and Pacific,278.670907726991
waste_generation,kt,Denmark,259.94392619847287
material_extraction,kt,Asia and Pacific,220.56424073832997
land_use,km2,America,193.1427353333364
land_use,km2,Middle East,172.79133953738588
material_extraction,kt,Middle East,108.13294893061402
climate_change,kt CO2eq,Middle East,96.42429360338502
climate_change,kt CO2eq,America,75.50903965065672
climate_change,kt CO2eq,Africa,60.76274243632007
material_extraction,kt,America,60.006052053107545
waste_generation,kt,Europe,38.80747128535513
blue_water_consumption,Mm3,Denmark,34.150723822472195
material_extraction,kt,Africa,27.978696641910954
waste_generation,kt,Asia and Pacific,15.078272769059359
blue_water_consumption,Mm3,Asia and Pacific,14.317095013238669
blue_water_consumption,Mm3,Europe,7.092971692378313
blue_water_consumption,Mm3,Middle East,7.011629128285565
waste_generation,kt,Africa,6.925831249497613
waste_generation,kt,America,3.1897905022546875
waste_generation,kt,Middle East,3.0571813630850917
blue_water_consumption,Mm3,America,1.6280185206443967
blue_water_consumption,Mm3,Africa,1.563374180076784
