,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"4,118 (100·0%)","3,683 (100·0%)",84 (100·0%),"4,097 (100·0%)",229 (100·0%),"31,079 (100·0%)"
Health-care services,Top-down,"1,869 (45·4%)","1,698 (46·1%)",33 (38·7%),"2,233 (54·5%)",133 (57·9%),"28,034 (90·2%)"
Pharmaceuticals and chemical products,Top-down,"1,441 (35·0%)","1,829 (49·7%)",50 (58·6%),"1,759 (42·9%)",90 (39·4%),"1,950 (6·3%)"
Medical appliances,Top-down,157 (3·8%),131 (3·6%),2 (2·4%),104 (2·5%),6 (2·7%),"1,094 (3·5%)"
Release of anaesthetic gases,Bottom-up,12 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,12 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,627 (15·2%),26 (0·7%),0 (0·2%),2 (<0·1%),0 (<0·1%),NA
