,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,3576.8421994901246,2918.1229861561633,63.67001062760342,3360.1487899744384,190.6432865062213,31079.141889348888
Healthcare services,1842.4712054688343,1696.231609295185,32.64242562116096,2230.4917663766378,132.44599603586983,28034.449163933543
Pharmaceuticals and chemical products,954.8201831417873,1113.92267929769,29.704601817679492,1065.8764114352923,54.62098353163027,1950.3076778321415
Medical appliances,151.3515906219891,80.31089760809257,1.1306073869159539,61.980161655428844,3.576306938721678,1094.3850475832037
Release of anaesthetic gases,11.7488924705,0,0,0,0,NA
Release of pMDI propellants,12.551920252536068,0,0,0,0,NA
Private travel,603.898407534464,27.657799955171782,0.19237580184708641,1.8004505070789105,0.0,NA
