,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),3576.8421994901246,77240.6211863052,4.630778655783649
Material extraction (kt),2918.1229861561633,53925.07396917576,5.411439932051272
Blue water consumption (Mm3),63.67001062760342,1276.054948805772,4.989597876423001
Land use (km2),3360.1487899744384,99442.87815130444,3.378973791227061
Waste generation (kt),190.6432865062213,10586.42431340197,1.8008279364437987
