producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
America,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.02785438793693644,0.034331140916917205
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.019728235568089364,0.024315480809114703
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.019153097995797907,0.023606611201724463
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0173950243807101,0.021439747109842647
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.01617942438222312,0.019941493587232635
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.015117411842821785,0.018632539959234504
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.014261000879552281,0.017576994760059257
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.014144730621121222,0.017433689129518013
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.013889109505738618,0.017118630527138797
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.013223469945831422,0.016298215245252618
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.012980541881475153,0.015998801105226598
Middle East,Chemical,Scope 3,blue_water_consumption,Mm3,0.01078593676755544,0.013293902415887402
America,Services,Scope 3,blue_water_consumption,Mm3,0.010700175712884447,0.013188200044693349
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.010664154639574302,0.013143803285856319
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.010358817194809205,0.012767468222699483
Asia and Pacific,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.00959642681196236,0.011827805440430637
Africa,Transport,Scope 3,blue_water_consumption,Mm3,0.00781052211998459,0.009626638939005948
Middle East,Transport,Scope 3,blue_water_consumption,Mm3,0.007807427462271542,0.009622824705848975
America,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.006092508161894979,0.007509149248478856
Denmark,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.005984740933833527,0.007376323788404855
Europe,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0054413619923179895,0.00670659738642142
Middle East,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.005260017799366879,0.006483086711666527
Asia and Pacific,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.004710217439961947,0.0058054457720186385
Africa,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.003800545869922437,0.00468425571284929
Africa,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0035222623177523444,0.004341265162633578
Denmark,Textile,Scope 3,blue_water_consumption,Mm3,0.003520899860442607,0.004339585904270415
Asia and Pacific,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0035054221268322836,0.00432050925987049
Africa,Paper Products,Scope 3,blue_water_consumption,Mm3,0.002745121966288981,0.003383422722199552
Africa,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.002617202955811208,0.0032257597505841707
America,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.002575556231223018,0.0031744292537948574
America,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.002556486079837275,0.003150924876099927
America,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.001914335522654533,0.0023594603026032774
America,Transport,Scope 3,blue_water_consumption,Mm3,0.0017137222230746575,0.002112200033475212
Middle East,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0015838478909512592,0.0019521270852663457
Africa,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0015771298101838766,0.0019438469041315666
Middle East,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0015093659870213392,0.0018603265134724998
Europe,Construction,Scope 3,blue_water_consumption,Mm3,0.0013197099624820366,0.001626571324920429
Europe,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0011946019181796183,0.0014723729304516456
Middle East,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0011246886523521723,0.0013862033048070935
Africa,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.00102410910177072,0.0012622368140628054
Denmark,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0009834883495231537,0.0012121708505700977
America,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0008572832960645683,0.001056620368379524
Africa,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.000832226866494722,0.0010257377722016877
Europe,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0007975768716714941,0.0009830308975168108
Denmark,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.000735624347176729,0.0009066730592687064
Denmark,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0006104228908606311,0.0007523595324548065
Middle East,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0005886231707002395,0.0007254909016857442
Middle East,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0005445088464906732,0.0006711190345198931
America,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0004999141398647539,0.0006161550855439098
America,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00036831979668198106,0.0004539621861736061
Africa,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0002820016320906203,0.00034757316484651995
Africa,Construction,Scope 3,blue_water_consumption,Mm3,0.0001534275968838,0.0001891028609599035
Middle East,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0001479028743299066,0.00018229351986240726
Middle East,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.00014620131906664265,0.00018019631587238262
America,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.00011791548297875386,0.0001453334056951886
Denmark,Services,Scope 3,blue_water_consumption,Mm3,8.045340178566935e-05,9.91605731995473e-05
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,6.75012847357098e-05,8.319680631939543e-05
America,Construction,Scope 3,blue_water_consumption,Mm3,6.506479646301692e-05,8.019378135896131e-05
Middle East,Transport Equipment,Scope 3,blue_water_consumption,Mm3,5.731742550659395e-05,7.064497760700774e-05
Asia and Pacific,Construction,Scope 3,blue_water_consumption,Mm3,5.361314601639573e-05,6.607937230770752e-05
Middle East,Construction,Scope 3,blue_water_consumption,Mm3,4.232556036016854e-05,5.216717669051924e-05
Denmark,Construction,Scope 3,blue_water_consumption,Mm3,1.5242081314776082e-05,1.878619780371455e-05
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,1.3097987676794304e-05,1.614355561063271e-05
Denmark,Transport,Scope 3,blue_water_consumption,Mm3,2.6962195042505415e-06,3.323149370682121e-06
Denmark,Transport Equipment,Scope 3,blue_water_consumption,Mm3,2.4156325684219755e-06,2.977319849847352e-06
Denmark,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,1.619887908504537e-07,1.9965471932964e-07
Africa,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,3.5488833053489314e-08,4.374076110718135e-08
America,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,6.909801673213997e-10,8.516481334579661e-10
Denmark,Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Denmark,Operational impact,Scope 1,climate_change,kt CO2eq,163.39469914555332,100.0
Denmark,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1139.9815421092778,96.64784682036075
Denmark,Electricity,Scope 2,climate_change,kt CO2eq,24.5279158235726,2.0794812580501465
Europe,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,5.117562252066952,0.43386787799763776
Middle East,Electricity,Scope 2,climate_change,kt CO2eq,4.702103778680717,0.39864523147850267
Europe,Electricity,Scope 2,climate_change,kt CO2eq,2.4693629039081983,0.2093530455231907
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1.3117617287033054,0.11121140293723784
Asia and Pacific,Electricity,Scope 2,climate_change,kt CO2eq,0.8748039491224227,0.0741660412467677
Africa,Electricity,Scope 2,climate_change,kt CO2eq,0.2773447631466586,0.023513340519032727
America,Electricity,Scope 2,climate_change,kt CO2eq,0.19397399673418306,0.016445151461672868
America,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.03776937344388624,0.0032020944938736568
Middle East,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.0267484190176834,0.0022677359311665734
Europe,Transport,Scope 3,climate_change,kt CO2eq,378.25226716635996,7.610489161129206
Denmark,Private travel,Scope 3,climate_change,kt CO2eq,309.7669,6.232553878889898
Asia and Pacific,Transport,Scope 3,climate_change,kt CO2eq,297.7979849422287,5.991737613596814
Asia and Pacific,Electricity,Scope 3,climate_change,kt CO2eq,261.33743466517444,5.258146180633141
Denmark,Waste management and disposal,Scope 3,climate_change,kt CO2eq,249.80166431839598,5.0260448482416
Denmark,Transport,Scope 3,climate_change,kt CO2eq,238.46813147070583,4.798012562960644
Asia and Pacific,Chemical,Scope 3,climate_change,kt CO2eq,226.06012665933838,4.548361749667253
Asia and Pacific,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,191.04268719617633,3.8438059105671982
Asia and Pacific,Food and catering,Scope 3,climate_change,kt CO2eq,184.0711784012569,3.703538166720163
Europe,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,148.9181129854224,2.9962535142530022
Denmark,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,136.33724575161764,2.7431246845496076
Denmark,Services,Scope 3,climate_change,kt CO2eq,129.75182661816004,2.6106251193463947
Europe,Chemical,Scope 3,climate_change,kt CO2eq,123.92171221978361,2.4933223923346555
Middle East,Transport,Scope 3,climate_change,kt CO2eq,114.70639829191552,2.307908971577556
Denmark,Food and catering,Scope 3,climate_change,kt CO2eq,113.3314841696079,2.280245504802607
Europe,Food and catering,Scope 3,climate_change,kt CO2eq,93.17674593370644,1.874729318372817
America,Food and catering,Scope 3,climate_change,kt CO2eq,88.96950291313973,1.7900789932177876
Europe,Electricity,Scope 3,climate_change,kt CO2eq,85.51740147092538,1.7206222235177502
Europe,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,84.67262671567924,1.7036252358550994
Middle East,Electricity,Scope 3,climate_change,kt CO2eq,83.17155162132113,1.6734233924630304
America,Chemical,Scope 3,climate_change,kt CO2eq,73.6034538080953,1.4809119099921189
Europe,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,67.01613663709988,1.348374156004958
America,Electricity,Scope 3,climate_change,kt CO2eq,65.41811642995484,1.3162217632199757
Middle East,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,60.31749346771194,1.2135965071707278
Middle East,Services,Scope 3,climate_change,kt CO2eq,59.2070774033416,1.1912547787640677
Denmark,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,55.739103969974366,1.1214786623551807
America,Transport,Scope 3,climate_change,kt CO2eq,55.02556792982216,1.107122216218494
Asia and Pacific,Metal Products,Scope 3,climate_change,kt CO2eq,53.80181379448368,1.0825001097797127
America,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,51.937099792778504,1.0449818000947595
Africa,Electricity,Scope 3,climate_change,kt CO2eq,47.484463656466424,0.955394130712856
Africa,Food and catering,Scope 3,climate_change,kt CO2eq,47.276559447940905,0.9512110686062099
Europe,Waste management and disposal,Scope 3,climate_change,kt CO2eq,45.54204397125391,0.9163123716756465
Denmark,Chemical,Scope 3,climate_change,kt CO2eq,44.827477741071846,0.9019351979697245
Europe,Services,Scope 3,climate_change,kt CO2eq,42.017378042276974,0.84539559422965
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,38.20312426160776,0.7686522682132798
