producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.07430198439532879,0.11598143774258601
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.0649792802363349,0.10142919340068558
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.05627325781215595,0.08783955638099182
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.04978504514045371,0.07771180218751163
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.04794274140729094,0.07483606424498387
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.04264182954047144,0.06656162333114049
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.03612189664213375,0.056384355554400856
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.03477109954204711,0.05427583327142918
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.027057926865166573,0.04223598179368485
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.0211152217035227,0.03295973575077197
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.013795099435475638,0.021533415013731294
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.01282076012270745,0.020012523273576343
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.011222003756975385,0.017516949791835337
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.010103169535375855,0.01577050919980078
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.008124216942380335,0.012681469669727762
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.004605220847179674,0.0071885043087975406
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.001997302713702839,0.0031176830905338144
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.0008325045862924113,0.001299495291158884
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,152.10093671061043,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,1164.5094579328504,98.72732807841092
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,4.689173996043675,0.39754904210563513
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,2.186164665820885,0.18534344631177208
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,1.1536243668059782,0.09780448803144921
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.1164044728777571,0.09464897851294513
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.9816337018825934,0.08322308752272599
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,0.7666899252812084,0.06500011423008549
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,0.6594014379684545,0.05590417635357795
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.6332997181665383,0.05369126770200809
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.6012171740669678,0.05097130365591871
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.2940549169430278,0.024930030460755797
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.2919641225716645,0.02475277252571721
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.2754660204424123,0.02335406036370767
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,0.26591246849945044,0.022544108456008075
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.25831405511541844,0.021899913558379367
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.20504507259324967,0.01738375932876507
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.17614208826480376,0.014933358950476178
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.07992916688267888,0.006776409610161645
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.06114184373921116,0.0051836168654871605
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.04542405286055484,0.0038510596361971965
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.044747443856070476,0.00379369659915917
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.043584943379226304,0.0036951395928704997
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.039678182844429644,0.0033639237092937956
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.03800262302258717,0.003221869436467456
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.03296159639561283,0.0027944902629768796
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.02658060056669828,0.002253508251730265
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.02267946088524799,0.0019227689051439885
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.006740192037885612,0.0005714347325414316
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.003974605312644421,0.0003369677764405654
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.003239876731732363,0.000274677350920919
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.0025485895139260367,0.00021606989223189516
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.002228188081158119,0.00018890619926728624
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.001878742704246314,0.0001592801553250608
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.0009295072465438438,7.8803796959875e-05
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.00040101200484339377,3.3997872233544356e-05
MLT,Malta,Europe,Scope 2,climate_change,kt CO2eq,0.00019061501743920597,1.6160376573324208e-05
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,4.41965479556151e-05,3.746991542424074e-06
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,1.7187900716345093e-05,1.4571934143102563e-06
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,2.802992458924013e-07,2.3763822114827346e-08
USA,United States,America,Scope 2,climate_change,kt CO2eq,3.483897157612515e-08,2.9536544793858405e-09
CYP,Cyprus,Middle East,Scope 2,climate_change,kt CO2eq,1.8810295451552145e-08,1.594740341219552e-09
DNK,Denmark,Denmark,Scope 3,climate_change,kt CO2eq,1550.5508757288615,34.74655002221572
RoW Middle East,RoW Middle East,Middle East,Scope 3,climate_change,kt CO2eq,382.3383770768131,8.567883680867592
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,climate_change,kt CO2eq,380.59101789213554,8.528726821026643
CHN,China,Asia and Pacific,Scope 3,climate_change,kt CO2eq,374.7294074897949,8.39737302784012
RUS,Russia,Europe,Scope 3,climate_change,kt CO2eq,181.85881234015625,4.075304086354245
DEU,Germany,Europe,Scope 3,climate_change,kt CO2eq,143.64434494335887,3.218949790755277
