producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Chemical,Scope 3,material_extraction,kt,31.36705385868372,0.5302944340621368
Food and catering,Scope 3,material_extraction,kt,19.29214305801955,0.32615482891345954
Services,Scope 3,material_extraction,kt,15.66502346744746,0.2648343957218792
Private travel,Scope 3,material_extraction,kt,12.7595,0.21571333609779358
Non-metallic mineral products,Scope 3,material_extraction,kt,10.878632076698626,0.18391520180611537
Transport,Scope 3,material_extraction,kt,5.997773329608911,0.10139893366419607
Coal and Petroleum,Scope 3,material_extraction,kt,3.2970272434669496,0.055739860174267644
Construction,Scope 3,material_extraction,kt,2.645298798178883,0.04472167629849531
Natural gas and gaseous fuels,Scope 3,material_extraction,kt,2.3371714424131333,0.03951244554061126
Metal Products,Scope 3,material_extraction,kt,1.9537326585986208,0.03302999252553157
Waste management and disposal,Scope 3,material_extraction,kt,0.868730143745618,0.014686835493246838
Electricity,Scope 3,material_extraction,kt,0.3123039666550338,0.005279840943903086
"Electrical, electronic and measuring equipment",Scope 3,material_extraction,kt,0.23357067726166159,0.003948768369194253
Paper Products,Scope 3,material_extraction,kt,0.09443065960371291,0.0015964538275819635
General and special Machinery,Scope 3,material_extraction,kt,0.07824254390055789,0.0013227759841347557
Furniture and timber,Scope 3,material_extraction,kt,0.05807665069621401,0.0009818494510808865
Transport Equipment,Scope 3,material_extraction,kt,0.04631289152374709,0.0007829702053311425
Textile,Scope 3,material_extraction,kt,0.02941875353213555,0.0004973562810655361
"Steam, hot water supply and water distribution",Scope 3,material_extraction,kt,0.020903492673397896,0.00035339646072921716
Operational impact,Scope 1,waste_generation,kt,42.71652604695465,100.0
"Steam, hot water supply and water distribution",Scope 2,waste_generation,kt,34.56946390954774,97.50475427051259
Electricity,Scope 2,waste_generation,kt,0.8846677050398447,2.4952457294874164
Waste management and disposal,Scope 3,waste_generation,kt,76.29666066842199,31.195112644749344
Food and catering,Scope 3,waste_generation,kt,54.637398185754265,22.33937601054224
Chemical,Scope 3,waste_generation,kt,46.97220662674131,19.20533957916854
Paper Products,Scope 3,waste_generation,kt,12.701541898461953,5.1932289934219344
Electricity,Scope 3,waste_generation,kt,12.031365442017123,4.919216607198218
Coal and Petroleum,Scope 3,waste_generation,kt,9.108965593422052,3.7243465870525894
Services,Scope 3,waste_generation,kt,7.442328393986527,3.0429152541628257
Transport,Scope 3,waste_generation,kt,6.996861899112103,2.8607791375185907
Metal Products,Scope 3,waste_generation,kt,5.08058457748629,2.0772784392837442
"Steam, hot water supply and water distribution",Scope 3,waste_generation,kt,4.831363848374456,1.9753805495210803
Construction,Scope 3,waste_generation,kt,3.264102458431647,1.3345806091998715
"Electrical, electronic and measuring equipment",Scope 3,waste_generation,kt,1.1893187034792483,0.48627201505947293
Non-metallic mineral products,Scope 3,waste_generation,kt,1.1878090527394591,0.48565477015688646
Furniture and timber,Scope 3,waste_generation,kt,1.141031478427306,0.4665290091192254
Textile,Scope 3,waste_generation,kt,0.5227883307476475,0.21375038860361492
General and special Machinery,Scope 3,waste_generation,kt,0.47814789979930133,0.19549843288571314
Minerals and Metals,Scope 3,waste_generation,kt,0.3929017032653657,0.1606441590536057
Transport Equipment,Scope 3,waste_generation,kt,0.18245664236212383,0.07460032275862012
Natural gas and gaseous fuels,Scope 3,waste_generation,kt,0.12105796783972463,0.04949649054388632
