producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Non-metallic mineral products,Scope 3,material_extraction,kt,113.15913556361913,4.688766652432844
Food and catering,Scope 3,material_extraction,kt,30.690245120005024,1.2716551532224085
Chemical,Scope 3,material_extraction,kt,22.409136229259985,0.9285260985623813
Services,Scope 3,material_extraction,kt,19.479127663189008,0.8071207309134525
Transport,Scope 3,material_extraction,kt,16.02362871356753,0.663941586235443
Private travel,Scope 3,material_extraction,kt,13.05,0.5407288108863991
Electricity,Scope 3,material_extraction,kt,5.02178092799296,0.20807828580273038
Coal and Petroleum,Scope 3,material_extraction,kt,4.003043970202882,0.16586675907538503
Construction,Scope 3,material_extraction,kt,3.635605352547738,0.15064188192608172
Metal Products,Scope 3,material_extraction,kt,3.4968531587851723,0.14489266286546015
Natural gas and gaseous fuels,Scope 3,material_extraction,kt,3.2506581959025898,0.1346915356987383
"Electrical, electronic and measuring equipment",Scope 3,material_extraction,kt,1.8491114031666958,0.07661822300619221
Waste management and disposal,Scope 3,material_extraction,kt,1.6614852853826585,0.06884390518545705
"Steam, hot water supply and water distribution",Scope 3,material_extraction,kt,1.5701188261158907,0.06505812151693444
General and special Machinery,Scope 3,material_extraction,kt,0.3412595873618309,0.01414014489484644
Paper Products,Scope 3,material_extraction,kt,0.28119694550460017,0.011651439844259773
Furniture and timber,Scope 3,material_extraction,kt,0.26395057804950434,0.010936833885171353
Transport Equipment,Scope 3,material_extraction,kt,0.14422852511245887,0.00597613171493939
Textile,Scope 3,material_extraction,kt,0.0916760389848012,0.0037986111530288677
Operational impact,Scope 1,waste_generation,kt,49.10282360999154,100.0
Electricity,Scope 2,waste_generation,kt,7.958922895397196,97.48108541166174
"Steam, hot water supply and water distribution",Scope 2,waste_generation,kt,0.20565884042030877,2.518914588338266
Waste management and disposal,Scope 3,waste_generation,kt,38.669159169137046,22.882132379592278
Food and catering,Scope 3,waste_generation,kt,37.66598806330197,22.2885147645131
Chemical,Scope 3,waste_generation,kt,37.57315279904944,22.23358031929206
Paper Products,Scope 3,waste_generation,kt,12.503041470557902,7.398564029423726
Electricity,Scope 3,waste_generation,kt,10.122369803336301,5.989822660017711
Coal and Petroleum,Scope 3,waste_generation,kt,8.859377099108329,5.242457915772907
"Steam, hot water supply and water distribution",Scope 3,waste_generation,kt,5.223107123948469,3.0907273706217366
Services,Scope 3,waste_generation,kt,4.905537966960901,2.9028086352264046
Metal Products,Scope 3,waste_generation,kt,3.796664152587279,2.24664237875885
