producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0761,100.0
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.0404665849300418,57.067679162929686
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.028306006828852058,39.91832073018367
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0010282621280236627,1.450098478013205
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.0006549855947898518,0.9236882194143018
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.0003744151589132156,0.5280159963964285
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,3.174795297228434e-05,0.04477229787080605
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.399112119585776e-05,0.033833287625607354
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.3599230630886925e-05,0.0332806270769745
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.20671686958105e-07,0.00031120048932813615
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,34.80141776190927,36.49556247905897
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,27.15094442510415,28.472661528071153
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,7.702831788072478,8.077808229266171
America,Food and catering,Scope 3,blue_water_consumption,Mm3,6.461287340731399,6.775824980811892
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,4.029745373405276,4.225914733013528
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,3.979522911577768,4.173247424859085
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,2.8545252739195845,2.993484523966984
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,2.7750642148045808,2.9101552737788525
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.319389754791576,1.3836180916436476
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.626829491068165,0.6573437614381806
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.4408853211878581,0.4623477668522637
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.2968981396449672,0.311351240902285
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.2502399996112253,0.26242176692488084
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.2355404844319994,0.24700667440464205
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.21201920553973783,0.22234037174787327
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.20569126972353977,0.2157043898886428
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.20506203342920198,0.21504452215994263
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.18952725642811227,0.19875350699153033
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.14365062438411266,0.15064358507555803
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.12389711260917996,0.1299284657061415
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.10933749930850022,0.11466008553493251
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.1015,0.10644105412506794
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.09354183498918112,0.0980954829659271
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.08115401655325132,0.08510462136365796
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.05136500546664942,0.053865471202069366
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.05012354994337472,0.05256358120653492
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.04889557410296397,0.051275827089358204
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.04769804241997065,0.050019999161417555
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0472124344263898,0.04951075160744411
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.04118261502330797,0.043187398568549355
Africa,Services,Scope 3,blue_water_consumption,Mm3,0.038961731572264305,0.04085840176443106
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.03690956645857829,0.03870633656305738
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.03510042423737078,0.036809124690274184
Middle East,Chemical,Scope 3,blue_water_consumption,Mm3,0.033312199102795446,0.0349338481549329
Asia and Pacific,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.032457889400714944,0.03403795036932974
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.032340761806488434,0.03391512096443709
America,Textile,Scope 3,blue_water_consumption,Mm3,0.031015987536192585,0.03252585623726411
Africa,Textile,Scope 3,blue_water_consumption,Mm3,0.0290560558630929,0.030470514431374076
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.02896322778165589,0.03037316744772321
Asia and Pacific,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.028527693152882703,0.029916430846791308
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.02509106875125276,0.026312510413870893
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.024715139083029275,0.02591828036300789
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.02081512762241825,0.02182841503328096
Africa,Electricity,Scope 3,blue_water_consumption,Mm3,0.02039049859945887,0.02138311492672043
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.01932422146641217,0.020264931064346573
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.01900507958076517,0.019930253244408364
Europe,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.018186746807058597,0.019072083756148085
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.01353345159503935,0.014192264568734684
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.013259557359983116,0.013905037070230598
Denmark,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0126045914723954,0.013218187223030626
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.012284592898893748,0.01288261101138497
Africa,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.011030001241849914,0.011566945410673036
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.010646270216881951,0.011164534230396359
Europe,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.008984321134072644,0.009421680907476039
America,Services,Scope 3,blue_water_consumption,Mm3,0.008271298181843443,0.00867394775820861
Africa,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.006909785499392635,0.007246156180625231
Africa,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0068856105724123,0.007220804410071701
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.006710592534116374,0.00703726643482914
Middle East,Services,Scope 3,blue_water_consumption,Mm3,0.006370968299167316,0.006681109177938525
Denmark,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.006351408176008182,0.006660596861407742
Asia and Pacific,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.006272832746358043,0.00657819635342458
Asia and Pacific,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.005431761981960871,0.0056961819814422
Europe,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.005221022220146661,0.005475183337170572
America,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.005024263733000444,0.005268846580718386
Africa,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.004998623227623457,0.005241957886919115
Africa,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0043101625770514155,0.004519982740411547
Europe,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0040611214939069214,0.004258818253610082
Denmark,Textile,Scope 3,blue_water_consumption,Mm3,0.004032517912739986,0.0042288222404952
Europe,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.003937431240126313,0.004129106716689835
Asia and Pacific,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.003409602371217287,0.003575582960982258
Middle East,Paper Products,Scope 3,blue_water_consumption,Mm3,0.003343585935265292,0.0035063528227328947
America,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.003247899667780944,0.0034060085155769616
America,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0031685885390098016,0.0033228364943922385
America,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.0031071182528968574,0.003258373814084541
Africa,Transport,Scope 3,blue_water_consumption,Mm3,0.0029143956094620713,0.0030562693675725387
Europe,Construction,Scope 3,blue_water_consumption,Mm3,0.0024023313861992824,0.002519277685761451
Africa,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.002146619502276974,0.0022511176613575347
Middle East,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.0020670616245943327,0.002167686879441342
America,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0020359093541109236,0.0021350181059571717
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0017033495020118542,0.001786269128448781
America,Transport,Scope 3,blue_water_consumption,Mm3,0.0015582657271597448,0.001634122626658608
America,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.001043068434191255,0.0010938453562551846
America,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0008839996383321452,0.0009270330379335206
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0007325878122312999,0.0007682504332322847
Africa,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0006852079737887612,0.000718564128324903
Denmark,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0006624133621721792,0.0006946598673511049
Denmark,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0006602228913322966,0.000692362763654284
Africa,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0005614480489644215,0.0005887795287510914
Africa,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0005250181565499208,0.0005505762169258474
America,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.00048409133054147654,0.0005076570592674035
America,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.00040478094892594627,0.0004244858216100789
Asia and Pacific,Construction,Scope 3,blue_water_consumption,Mm3,0.000381528234265103,0.00040010115698180715
Middle East,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0003728646110652414,0.00039101578569180066
Africa,Construction,Scope 3,blue_water_consumption,Mm3,0.0002177478078826,0.00022834784437878543
Middle East,Transport,Scope 3,blue_water_consumption,Mm3,0.0002166463898773937,0.0002271928089747806
Denmark,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00013251918690066025,0.00013897026547293764
Middle East,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0001301614803295819,0.00013649778495330043
Middle East,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.00011373322038450716,0.00011926979179079413
Denmark,Services,Scope 3,blue_water_consumption,Mm3,6.0526063096566894e-05,6.347249219742811e-05
Denmark,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,5.5392630833974157e-05,5.80891627263936e-05
