indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
material_extraction,kt per MEUR,Minerals and Metals,27.133503440361707,39.37620242989832,1068.4143241000252
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",17.917654276615412,62.577898924576644,1121.2491582875477
material_extraction,kt per MEUR,Non-metallic mineral products,3.649920192828271,14.212634609923292,51.87498205604898
material_extraction,kt per MEUR,Chemical,2.2963184588742944,1306.9476867534152,3001.1680978749264
land_use,km2 per MEUR,Food and catering,1.5575401704731808,897.0758824960926,1397.2317229503433
land_use,km2 per MEUR,Paper Products,1.4243684028810262,76.52479107237995,108.99949444057005
climate_change,kt CO2eq per MEUR,Coal and Petroleum,1.2366822729631324,59.20322974912858,73.21558473291087
material_extraction,kt per MEUR,Construction,1.1373563445739763,91.80318491181141,104.41293481154665
land_use,km2 per MEUR,Chemical,1.1071915166553417,1306.9476867534152,1447.041391485704
material_extraction,kt per MEUR,Metal Products,0.9293717728455663,49.25895478247583,45.77988213470915
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,0.8891394652948843,14.212634609923292,12.637014337498762
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,0.8412806514996958,22.532506121320623,18.956161429665496
climate_change,kt CO2eq per MEUR,Chemical,0.7830185927279352,1306.9476867534152,1023.3643384506894
climate_change,kt CO2eq per MEUR,Textile,0.6124244992858123,7.776643897031205,4.762607244763404
climate_change,kt CO2eq per MEUR,Minerals and Metals,0.6039243744721428,39.38036583884751,23.78276280571012
waste_generation,kt per MEUR,"Steam, hot water supply and water distribution",0.5276472388420141,62.577898924576644,33.01905558008751
climate_change,kt CO2eq per MEUR,Waste management and disposal,0.5180598591706437,608.5479298384582,315.2642548306984
material_extraction,kt per MEUR,Paper Products,0.51444559461675,76.52479107237995,39.36784164615307
material_extraction,kt per MEUR,Transport Equipment,0.5125398039675505,9.208889183617027,4.719922256929967
land_use,km2 per MEUR,Textile,0.511811435853701,7.776643897031205,3.9801752790624625
land_use,km2 per MEUR,Furniture and timber,0.5095048860427892,39.34219329637341,20.04503971214212
material_extraction,kt per MEUR,General and special Machinery,0.5067793266015747,47.29583867794805,23.96855327626722
material_extraction,kt per MEUR,Textile,0.47774100217067234,7.776643897031205,3.715221648892131
