,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"5,788 (100·0%)","5,589 (100·0%)",66 (100·0%),"4,131 (100·0%)",313 (100·0%),"33,430 (100·0%)"
Health-care services,Top-down,"3,966 (68·5%)","2,746 (49·1%)",42 (64·6%),"2,709 (65·6%)",253 (80·6%),"30,989 (92·7%)"
Pharmaceuticals and chemical products,Top-down,"1,004 (17·4%)","2,732 (48·9%)",22 (34·0%),"1,377 (33·3%)",58 (18·5%),"1,621 (4·8%)"
Medical appliances,Top-down,120 (2·1%),80 (1·4%),1 (1·1%),43 (1·0%),3 (0·9%),820 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,11 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,674 (11·6%),30 (0·5%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
