,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),5787.749143578597,66174.16000868398,8.746237417776177
Material extraction (kt),5588.540416237968,77843.17262981998,7.179230017787229
Blue water consumption (Mm3),65.58862303808131,1014.5618916501049,6.46472369777329
Land use (km2),4130.607363428949,85931.6357982245,4.8068529419456185
Waste generation (kt),313.3430991519731,10905.034746571284,2.873380107757044
