indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,20.328017169496807,30.99320618103862
blue_water_consumption,Mm3,imported,45.26060586858473,69.00679381896138
climate_change,kt CO2eq,domestic,4069.7101895952474,70.31593955848119
climate_change,kt CO2eq,imported,1718.0389539833611,29.684060441518803
land_use,km2,domestic,1286.081360723578,31.135405705953154
land_use,km2,imported,2844.526002705371,68.86459429404685
material_extraction,kt,domestic,2107.9855273519224,37.71978674837879
material_extraction,kt,imported,3480.554888886047,62.28021325162122
waste_generation,kt,domestic,205.92180179934218,65.71767572244141
waste_generation,kt,imported,107.42129735263157,34.28232427755859
