indicator,unit,producing_world_region,value
climate_change,kt CO2eq,Denmark,2749.9305084810885
material_extraction,kt,Asia and Pacific,2645.789592133508
material_extraction,kt,Denmark,1416.754068721169
land_use,km2,Asia and Pacific,1186.6950474367006
climate_change,kt CO2eq,Asia and Pacific,1017.5409858959279
climate_change,kt CO2eq,Europe,937.5191030294066
land_use,km2,America,922.7977461064316
land_use,km2,Europe,906.4215730479034
land_use,km2,Africa,664.825374110243
material_extraction,kt,Europe,649.0366643598717
material_extraction,kt,Middle East,385.8116461760293
climate_change,kt CO2eq,Middle East,382.8904384963642
land_use,km2,Denmark,375.1557423847161
material_extraction,kt,America,349.7608898703838
climate_change,kt CO2eq,America,294.7226520717333
climate_change,kt CO2eq,Unallocated,273.98958161242876
waste_generation,kt,Denmark,169.85712292461488
climate_change,kt CO2eq,Africa,131.1558739916584
material_extraction,kt,Africa,111.27037963148668
land_use,km2,Middle East,72.75066859713621
waste_generation,kt,Europe,50.681462335847826
waste_generation,kt,Asia and Pacific,44.341199784137096
material_extraction,kt,Unallocated,30.117175345521403
blue_water_consumption,Mm3,Asia and Pacific,28.389379107029402
waste_generation,kt,America,22.6540067714598
waste_generation,kt,Africa,21.232497724378625
blue_water_consumption,Mm3,America,10.788001266219434
blue_water_consumption,Mm3,Middle East,9.68629947629635
blue_water_consumption,Mm3,Denmark,7.16406630600014
blue_water_consumption,Mm3,Europe,4.714804863486757
blue_water_consumption,Mm3,Africa,4.637820163454405
waste_generation,kt,Middle East,4.576809611535624
land_use,km2,Unallocated,1.9612117458177558
blue_water_consumption,Mm3,Unallocated,0.20825185559507692
