producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RoW Africa,Africa,MILK,Raw milk,land_use,km2,160.7136812274779,3,3.3110960817538335,99.9656222076578
RUS,Europe,WHEA,Cultivation of wheat,land_use,km2,160.6581192838492,4,3.309951369415478,99.9656222076578
RoW Asia and Pacific,Asia and Pacific,CATL,Cattle farming,land_use,km2,151.4632933637903,5,3.120515399535458,99.9656222076578
RoW Asia and Pacific,Asia and Pacific,MILK,Raw milk,land_use,km2,139.7080692599064,6,2.878328946128196,99.9656222076578
RoW Middle East,Middle East,CATL,Cattle farming,land_use,km2,117.66641248411,7,2.424216745920413,99.9656222076578
RoW Africa,Africa,FORE,"Forestry, logging and related service activities (02)",land_use,km2,105.5794982216435,8,2.175196661573637,99.9656222076578
AUS,Asia and Pacific,CATL,Cattle farming,land_use,km2,102.1192955265134,9,2.103907997793341,99.9656222076578
RoW Europe,Europe,MILK,Raw milk,land_use,km2,95.295382476841,10,1.9633186491552612,99.9656222076578
RoW Africa,Africa,OILS,Cultivation of oil seeds,land_use,km2,92.41521000538098,11,1.9039800308609771,99.9656222076578
DNK,Denmark,MILK,Raw milk,land_use,km2,92.2233421545418,12,1.900027082460592,99.9656222076578
RoW Europe,Europe,OCER,Cultivation of cereal grains nec,land_use,km2,88.61794367863456,13,1.825747029414949,99.9656222076578
RoW Africa,Africa,OCER,Cultivation of cereal grains nec,land_use,km2,87.77613646268787,14,1.8084037357200704,99.9656222076578
SWE,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,79.50426375656554,15,1.6379828661536446,99.9656222076578
RoW Asia and Pacific,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,77.77587131447068,16,1.6023737419083173,99.9656222076578
DNK,Denmark,OCER,Cultivation of cereal grains nec,land_use,km2,76.29134231070492,17,1.5717888027166045,99.9656222076578
RoW America,America,CATL,Cattle farming,land_use,km2,74.27601073141821,18,1.5302680283516272,99.9656222076578
CHN,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,73.04204489483072,19,1.5048453050629993,99.9656222076578
DNK,Denmark,FORE,"Forestry, logging and related service activities (02)",land_use,km2,71.83550491469055,20,1.4799876216958507,99.9656222076578
OTH,Other,OTHER,All other pairs,land_use,km2,2459.287010458206,21,50.667345318974824,99.9656222076578
DNK,Denmark,SDCL,Quarrying of sand and clay,material_extraction,kt,1770.33684895562,1,41.81487371394982,99.39815009258048
CHN,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,358.8687541672613,2,8.47638213272186,99.39815009258048
RoW Middle East,Middle East,SDCL,Quarrying of sand and clay,material_extraction,kt,239.5186331046381,3,5.657364812417908,99.39815009258048
RoW Europe,Europe,CHEM,Chemicals nec,material_extraction,kt,233.6769856033542,4,5.519386691083713,99.39815009258048
IND,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,91.056039829962,5,2.150718835586806,99.39815009258048
RoW Asia and Pacific,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,76.89074402000878,6,1.8161384105318985,99.39815009258048
DNK,Denmark,STON,Quarrying of stone,material_extraction,kt,58.06138860994435,7,1.3713941693150906,99.39815009258048
POL,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,49.79828149290314,8,1.176221832034899,99.39815009258048
RoW Asia and Pacific,Asia and Pacific,STON,Quarrying of stone,material_extraction,kt,47.67646800160512,9,1.1261051758541711,99.39815009258048
