Hotspot,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Agricultural sector,12.911643907588939,1.1263648534457054,85.29988636249941,98.90701165136446,18.56644521918811
Electricity sector,8.960934710464796,0.2214249507949009,3.75605805101343,0.04404327831714985,5.4474014205344385
Fossil fuel industry,15.75795851137933,0.43836433052015966,0.06992635114312326,0.037071877537117985,5.087329963399671
Mining of minerals and metals,2.419631523762117,84.76590765487536,0.03527965397917643,0.010731278906425076,0.12096799387914434
Operational impacts,2.7613486856364955,0.0,0.0,0.0,16.481905964995136
Pharmaceutical and chemical industry,9.438881655246286,7.639873873010028,7.666607530512311,0.015345795739511914,26.20989302455258
Transport,15.452948028322226,0.5237903239449607,0.03629371843930334,0.09366923567762887,0.92380225703172
Unallocated,32.2966529775998,5.284274013408887,3.1359483324132595,0.8921268824577132,27.162254156419223
