producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RUS,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,208.6150248415878,3,4.86357137278522,99.96259627464876
BRA,America,SUGB,"Cultivation of sugar cane, sugar beet",land_use,km2,194.5475395540171,4,4.53560736931203,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,OMEA,Meat animals nec,land_use,km2,149.9006713078908,5,3.494727257962133,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,CATL,Cattle farming,land_use,km2,138.8696026908005,6,3.237553118285236,99.96259627464876
DNK,Denmark,OCER,Cultivation of cereal grains nec,land_use,km2,135.9285983853167,7,3.168987662090263,99.96259627464876
AUS,Asia and Pacific,CATL,Cattle farming,land_use,km2,133.3823480969938,8,3.109625350964125,99.96259627464876
CHN,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,129.0973079244064,9,3.009725553571986,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,MILK,Raw milk,land_use,km2,105.67878719268,10,2.4637550650595212,99.96259627464876
DNK,Denmark,WHEA,Cultivation of wheat,land_use,km2,91.27515895842042,11,2.127954352730288,99.96259627464876
RoW Africa,Africa,FORE,"Forestry, logging and related service activities (02)",land_use,km2,88.42765253407207,12,2.0615686705877914,99.96259627464876
SWE,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,80.55662943224117,13,1.8780666305901221,99.96259627464876
RoW America,America,CATL,Cattle farming,land_use,km2,77.70438062785439,14,1.811570386402484,99.96259627464876
RoW Africa,Africa,MILK,Raw milk,land_use,km2,77.3246019850816,15,1.8027163715184287,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,PIGS,Pigs farming,land_use,km2,66.63949550275777,16,1.553607861515116,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,OILS,Cultivation of oil seeds,land_use,km2,65.01279510736025,17,1.5156835869756315,99.96259627464876
RoW Africa,Africa,OCER,Cultivation of cereal grains nec,land_use,km2,60.90760946605955,18,1.419976849744408,99.96259627464876
AUS,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,54.8780248357311,19,1.2794054061481501,99.96259627464876
USA,America,CATL,Cattle farming,land_use,km2,52.83180268350526,20,1.2317005608740306,99.96259627464876
OTH,Other,OTHER,All other pairs,land_use,km2,1904.9498645108292,21,44.41127687069155,99.96259627464876
DNK,Denmark,SDCL,Quarrying of sand and clay,material_extraction,kt,1378.985831586733,1,24.38327276884656,99.56595899906104
IND,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,1180.745159070697,2,20.87797468592419,99.56595899906104
CHN,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,1094.51386876609,3,19.353230178370065,99.56595899906104
RoW Middle East,Middle East,SDCL,Quarrying of sand and clay,material_extraction,kt,349.7235298829391,4,6.18382294255155,99.56595899906104
BRA,America,SDCL,Quarrying of sand and clay,material_extraction,kt,117.0581556903923,5,2.069826153857348,99.56595899906104
RoW Asia and Pacific,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,87.48536951815511,6,1.5469191774000774,99.56595899906104
RoW Africa,Africa,SDCL,Quarrying of sand and clay,material_extraction,kt,63.11373838569182,7,1.1159791951953446,99.56595899906104
IDN,Asia and Pacific,SDCL,Quarrying of sand and clay,material_extraction,kt,57.74807553926613,8,1.0211033685020996,99.56595899906104
RoW America,America,COPO,Mining of copper ores and concentrates,material_extraction,kt,52.72207254537168,9,0.9322334184779179,99.56595899906104
CZE,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,46.88878199078507,10,0.8290889832890814,99.56595899906104
