,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"7,625 (100·0%)","5,680 (100·0%)",68 (100·0%),"4,291 (100·0%)",326 (100·0%),"33,430 (100·0%)"
Health-care services,Top-down,"5,896 (77·3%)","2,841 (50·0%)",45 (65·8%),"2,866 (66·8%)",265 (81·3%),"30,989 (92·7%)"
Pharmaceuticals and chemical products,Top-down,"1,026 (13·5%)","2,733 (48·1%)",22 (32·9%),"1,379 (32·1%)",58 (17·8%),"1,621 (4·8%)"
Medical appliances,Top-down,138 (1·8%),81 (1·4%),1 (1·1%),44 (1·0%),3 (0·9%),820 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,11 (0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,541 (7·1%),25 (0·4%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
