,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),7625.113069567781,79040.33438684596,9.64711641052567
Material extraction (kt),5680.112349178549,78480.24912537608,7.237632923545245
Blue water consumption (Mm3),67.79760857979959,1029.307782207698,6.586718739693654
Land use (km2),4290.943173924849,86986.64719626405,4.932875690959082
Waste generation (kt),326.0397596384365,10976.101331099775,2.970451436291252
