Component,kt_CO2eq
"Scope 1 direct (DRIVHUS, excl. medical N2O)",182.8387699118744
  + Anaesthetic gases (bottom-up),12.88345871012
Scope 1 (Total),195.72222862199442
Scope 2 (generation of purchased energy),1121.710210673311
Scope 3 (MRIO supply chain excl. Scope 2),6346.9463120970195
"  + pMDI (bottom-up, use phase)",10.88
  + Commute (bottom-up),316.8201
Scope 3 (Total),6674.6464120970195
Outside protocol (patient/visitor travel),224.23761012569273
Grand Total,8216.316461518018
