indicator,unit,hotspot_group,value,share_pct
blue_water_consumption,Mm3,Agricultural sector,56.099617162491285,82.7457167555704
blue_water_consumption,Mm3,Electricity sector,5.968412235812975,8.803278405886534
blue_water_consumption,Mm3,Other,2.765131917063739,4.078509515286375
blue_water_consumption,Mm3,Pharmaceutical and chemical industry,2.4041738258634915,3.5461041712610175
blue_water_consumption,Mm3,Mining of minerals and metals,0.4492636872005879,0.6626541800095979
blue_water_consumption,Mm3,Fossil fuel industry,0.06503330439751115,0.09592271137552764
blue_water_consumption,Mm3,Transport,0.045976446970028007,0.06781426061055308
climate_change,kt CO2eq,Transport,2845.7804663600878,37.321157606406445
climate_change,kt CO2eq,Other,2752.979392411082,36.10411238881643
climate_change,kt CO2eq,Fossil fuel industry,529.2860232843323,6.941353111165526
climate_change,kt CO2eq,Agricultural sector,474.00402233684156,6.2163540135374005
climate_change,kt CO2eq,Electricity sector,427.8349751093905,5.610867290832735
climate_change,kt CO2eq,Pharmaceutical and chemical industry,314.673149890245,4.1267997866959085
climate_change,kt CO2eq,Operational impacts,195.9599983729744,2.5699290828231893
climate_change,kt CO2eq,Mining of minerals and metals,84.5950418028273,1.1094267197223666
land_use,km2,Agricultural sector,4194.177945681064,97.74489606779679
land_use,km2,Other,67.19788004271093,1.566039849957888
land_use,km2,Transport,23.570756626500987,0.549314117458732
land_use,km2,Mining of minerals and metals,4.154224745219254,0.09681379074100996
land_use,km2,Electricity sector,1.340296585734821,0.03123547740924464
land_use,km2,Pharmaceutical and chemical industry,0.29031308276222356,0.006765717255972872
land_use,km2,Fossil fuel industry,0.2117571608563666,0.004934979380364903
material_extraction,kt,Mining of minerals and metals,5561.866240960331,97.91824349679773
material_extraction,kt,Other,57.364450601103975,1.009917534631158
material_extraction,kt,Pharmaceutical and chemical industry,29.88437455297096,0.5261229482070507
material_extraction,kt,Agricultural sector,18.85925129360211,0.3320225047367154
material_extraction,kt,Fossil fuel industry,5.909459428192933,0.10403772082162334
material_extraction,kt,Transport,5.890248761366697,0.10369951154607947
material_extraction,kt,Electricity sector,0.3383235809834247,0.005956283259649829
waste_generation,kt,Other,144.22937669150622,44.23674488395238
waste_generation,kt,Agricultural sector,53.138724876185215,16.29823458804959
waste_generation,kt,Operational impacts,49.10282360999154,15.060379036116498
waste_generation,kt,Pharmaceutical and chemical industry,44.43517113387716,13.628758401476535
waste_generation,kt,Electricity sector,12.610745461391382,3.867855096990679
waste_generation,kt,Transport,12.473967987117009,3.8259039329896836
waste_generation,kt,Fossil fuel industry,9.650275904986817,2.959846343798245
waste_generation,kt,Mining of minerals and metals,0.3986739733800726,0.1222777166263972
