indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,7.164297838184467,10.561418845496771
blue_water_consumption,Mm3,imported,60.67031740614149,89.43858115450323
climate_change,kt CO2eq,domestic,3954.9290038105246,51.048230954229695
climate_change,kt CO2eq,imported,3792.5069599480425,48.951769045770305
land_use,km2,domestic,375.1939716133949,8.743131986330006
land_use,km2,imported,3916.1054414575187,91.25686801366999
material_extraction,kt,domestic,1416.8199013041365,24.919551227545668
material_extraction,kt,imported,4268.7556067251035,75.08044877245433
waste_generation,kt,domestic,169.86268948122256,52.39967145040196
waste_generation,kt,imported,154.3047809999679,47.60032854959804
