indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,22.536131037541836,33.2403037653108
blue_water_consumption,Mm3,imported,45.261477542257865,66.7596962346892
climate_change,kt CO2eq,domestic,5906.3135575540555,77.45870131587236
climate_change,kt CO2eq,imported,1718.7995120137264,22.54129868412763
land_use,km2,domestic,1446.3548063418284,33.70715359576469
land_use,km2,imported,2844.5883675830187,66.29284640423532
material_extraction,kt,domestic,2199.519800796354,38.72317421880652
material_extraction,kt,imported,3480.592548382197,61.27682578119349
waste_generation,kt,domestic,218.61426132754232,67.05141163457371
waste_generation,kt,imported,107.42549831089352,32.94858836542629
