,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),6625.533857104874,66174.16000868398,10.012267411079206
Material extraction (kt),8029.507731630164,77843.17262981998,10.314980055879992
Blue water consumption (Mm3),86.52051316903923,1014.5618916501049,8.527869406598787
Land use (km2),5426.795396591061,85931.6357982245,6.315247401240776
Waste generation (kt),369.28349579332144,10905.034746571284,3.3863578097211473
