Hotspot,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Agricultural sector,479.11842712967564,19.29214305801956,57.48674784200566,4280.352615818152,54.63739818575432
Electricity sector,433.90034506626466,0.33101646033540433,6.26224613327818,1.3161723484286467,12.916033147056968
Fossil fuel industry,532.1390119520781,5.634198685880085,0.06600308745592375,0.20981551609138335,9.230023561261786
Mining of minerals and metals,86.48422883382017,5807.0906933892475,0.4467192111140434,4.044783280233287,0.3929017032653718
Operational impacts,163.5946084095433,0.0,0.0,0.0,42.71652604695465
Other,2891.018819317691,60.519633668242115,2.777111037012443,64.81100940205121,150.16057928631915
Pharmaceutical and chemical industry,333.9203434912253,31.367053858683715,2.364971765639498,0.2958169520662598,46.972206626741375
Transport,1062.4818567256239,5.997773329608914,0.04497045220141628,23.544140782441097,6.996861899112109
