,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"5,983 (100·0%)","5,930 (100·0%)",69 (100·0%),"4,375 (100·0%)",324 (100·0%),"35,271 (100·0%)"
Health-care services,Top-down,"4,147 (69·3%)","2,893 (48·8%)",45 (64·3%),"2,853 (65·2%)",259 (79·9%),"32,641 (92·5%)"
Pharmaceuticals and chemical products,Top-down,"1,076 (18·0%)","2,925 (49·3%)",24 (34·4%),"1,475 (33·7%)",62 (19·2%),"1,731 (4·9%)"
Medical appliances,Top-down,131 (2·2%),84 (1·4%),1 (1·0%),45 (1·0%),3 (0·9%),899 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,603 (10·1%),28 (0·5%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
