consuming_country_iso3,model,scenario,analysis_year,demand_component,basic_price_expenditure_meur,y_H_meur,unit
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,healthcare_services,37552.28493467391,8208.654106776508,M.EUR
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pharmaceuticals,1950.3076778321415,1950.3076778321413,M.EUR
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,medical_appliances,1094.3850475832037,1094.3850475832037,M.EUR
