pharma_scenario,indicator,unit,deterministic,median,mean,sd,cv_pct,p2_5,p16,p84,p97_5,rel_low_pct,rel_high_pct,mcse_median_pct
A,Global warming (ktCO2eq),ktCO2eq,4875.04189130478,4896.897017089668,4914.082579224293,385.71427013310625,7.849161342217263,4206.436481143591,4534.0165336922955,5294.617632655409,5720.738297166202,-14.099960312345573,16.823741181434126,0.03228632938903961
A,Material extraction (kt),kt,5595.226019299745,5592.1099233946425,5613.951637833751,468.33473317416303,8.342336439415405,4753.210809916976,5151.527875401826,6077.531680528639,6589.588283121095,-15.001477527616613,17.837245214967833,0.04240520379477204
A,Blue water consumption (Mm3),Mm3,43.01963532551069,42.994880399201996,43.162867283502294,3.6024859511506504,8.34626190954555,36.544107213118366,39.60609344840805,46.72860488355031,50.66887478673794,-15.003584441191652,17.848623641428652,0.04234514363284922
A,Land use (km2),km2,3833.21048095657,3830.3501177131566,3845.3658706437272,322.2345629113504,8.37981543892486,3253.610725387616,3527.158658795715,4163.8417555197275,4516.875876954976,-15.057093336153626,17.923316097581644,0.041913511144572556
A,Waste generation (kt),kt,1481.801246893921,1480.985779071771,1486.5485319815891,120.90363857253641,8.133178027586508,1264.8540935050564,1366.978960560977,1606.3250836429443,1738.7136862277216,-14.593771839063729,17.402456579798177,0.04165171706827474
B,Global warming (ktCO2eq),ktCO2eq,4875.04189130478,3843.903312778215,3876.4247225537883,390.74138123948063,10.079942452282687,3205.6459853118213,3497.1421230249807,4253.810020790544,4741.386845515559,-16.604406394527327,23.34823380582587,0.038247658487551885
B,Material extraction (kt),kt,5595.226019299745,2642.6430742002294,2677.5491595701938,318.1183252080793,11.88095180516291,2151.9648006802427,2375.082177943172,2976.1710407194287,3402.7295389834676,-18.56770890894851,28.76235811804706,0.05642306500953551
B,Blue water consumption (Mm3),Mm3,43.01963532551069,32.67764753314299,32.91677430424717,6.55666437501051,19.9189152448772,21.98488650772371,25.711295159852654,40.04507602866691,45.48526402773383,-32.72194246716887,39.19381430869782,0.09971597307986367
B,Land use (km2),km2,3833.21048095657,2983.8652300316216,3005.6720699735843,548.0389444101303,18.233490934855936,2082.484494744479,2410.5526104106866,3593.953547438095,4076.56112470845,-30.208493541030013,36.620149049601956,0.08477401790934334
B,Waste generation (kt),kt,1481.801246893921,1124.6753304280394,1132.7831592029884,223.82870157021324,19.75918336636433,760.0465531728173,885.751412071479,1374.6884171010304,1562.3709430489762,-32.42080335455106,38.91750808247518,0.11384906725742212
