indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,22.671416024086145,47.72336219051496
blue_water_consumption,Mm3,imported,24.834490901709,52.276637809485045
climate_change,kt CO2eq,domestic,5184.274443689993,88.12422109382392
climate_change,kt CO2eq,imported,698.6421703137895,11.875778906176084
land_use,km2,domestic,1620.8615621254398,53.47331195912836
land_use,km2,imported,1410.2982870425424,46.52668804087163
material_extraction,kt,domestic,2026.478363514765,80.9213830898215
material_extraction,kt,imported,477.7773549835268,19.078616910178482
waste_generation,kt,domestic,193.3371086130377,81.12713974715582
waste_generation,kt,imported,44.9766162583186,18.872860252844163
