producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
DNK,Denmark,Denmark,Transport,climate_change,kt CO2eq,1511.5439935769384,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,material_extraction,kt,1362.6105648526338,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,land_use,km2,507.01162676747987,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,land_use,km2,438.36358068160285,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Private travel,climate_change,kt CO2eq,399.697676258834,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,land_use,km2,308.59814370471815,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Transport,climate_change,kt CO2eq,298.483502748597,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,climate_change,kt CO2eq,273.98958161242876,2016,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Food and catering,land_use,km2,224.95227188206988,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Waste management and disposal,climate_change,kt CO2eq,214.55039259575767,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Transport,climate_change,kt CO2eq,200.25292072969157,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Operational impact,climate_change,kt CO2eq,185.6533448181906,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Services,climate_change,kt CO2eq,171.92460094669326,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Food and catering,land_use,km2,164.7959061080571,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,land_use,km2,160.3581994855092,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,137.98877638567134,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Food and catering,land_use,km2,127.27656508808147,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,climate_change,kt CO2eq,120.10099605497805,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Minerals and Metals,material_extraction,kt,117.62050368602053,2016,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Food and catering,land_use,km2,108.89633343988568,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Food and catering,land_use,km2,101.51888026573963,2016,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Food and catering,land_use,km2,99.98933953000991,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Non-metallic mineral products,material_extraction,kt,96.30591901128915,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Transport,climate_change,kt CO2eq,94.90179223304182,2016,EXIOBASE v3.8.2 IOT_2016_ixi
JPN,Japan,Asia and Pacific,Transport,climate_change,kt CO2eq,90.07928596426581,2016,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Food and catering,land_use,km2,87.89000884486926,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,material_extraction,kt,87.22420812858344,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Minerals and Metals,material_extraction,kt,86.50320338927479,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,climate_change,kt CO2eq,85.70214937371802,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Transport,climate_change,kt CO2eq,80.10821036784479,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,land_use,km2,73.83483741368046,2016,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Minerals and Metals,material_extraction,kt,72.21001836474028,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Food and catering,land_use,km2,71.39354671819275,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Coal and Petroleum,climate_change,kt CO2eq,70.92829397220882,2016,EXIOBASE v3.8.2 IOT_2016_ixi
BRA,Brazil,America,Food and catering,land_use,km2,67.42555876973327,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Transport,climate_change,kt CO2eq,56.76884607580762,2016,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,land_use,km2,54.93702292517806,2016,EXIOBASE v3.8.2 IOT_2016_ixi
KOR,South Korea,Asia and Pacific,Transport,climate_change,kt CO2eq,51.670970524811516,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,climate_change,kt CO2eq,51.44839909631093,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Electricity,climate_change,kt CO2eq,49.73820276885551,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Minerals and Metals,material_extraction,kt,48.854688716328354,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Operational impact,waste_generation,kt,47.23053445274639,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GRC,Greece,Europe,Transport,climate_change,kt CO2eq,46.38092069017331,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Minerals and Metals,material_extraction,kt,45.203398961607675,2016,EXIOBASE v3.8.2 IOT_2016_ixi
FRA,France,Europe,Transport,climate_change,kt CO2eq,40.32141360563406,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,climate_change,kt CO2eq,39.408770306558374,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Services,climate_change,kt CO2eq,39.026516387821616,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Food and catering,land_use,km2,37.283337283663606,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Coal and Petroleum,climate_change,kt CO2eq,36.95369113004243,2016,EXIOBASE v3.8.2 IOT_2016_ixi
LVA,Latvia,Europe,Food and catering,land_use,km2,36.89766625834552,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Transport,climate_change,kt CO2eq,36.34899527673786,2016,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,Food and catering,land_use,km2,35.91536378917866,2016,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Minerals and Metals,material_extraction,kt,33.486228039008274,2016,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Transport,climate_change,kt CO2eq,33.32024146665218,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Electricity,climate_change,kt CO2eq,32.24583766739026,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Waste management and disposal,waste_generation,kt,32.04089253701823,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Electricity,climate_change,kt CO2eq,31.609070078529918,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,material_extraction,kt,30.117175345521403,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,waste_generation,kt,30.065341833459925,2016,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,Minerals and Metals,material_extraction,kt,29.644968364007887,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Minerals and Metals,material_extraction,kt,29.392427806487056,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,material_extraction,kt,27.937766155553202,2016,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Transport,climate_change,kt CO2eq,27.896678431027045,2016,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Coal and Petroleum,climate_change,kt CO2eq,27.281907448052582,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Coal and Petroleum,climate_change,kt CO2eq,27.01497379662434,2016,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,climate_change,kt CO2eq,26.85435364862486,2016,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Minerals and Metals,material_extraction,kt,26.738579096593877,2016,EXIOBASE v3.8.2 IOT_2016_ixi
FIN,Finland,Europe,Food and catering,land_use,km2,26.53103451376195,2016,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Transport,climate_change,kt CO2eq,26.26894458996867,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,climate_change,kt CO2eq,26.00074890819917,2016,EXIOBASE v3.8.2 IOT_2016_ixi
BEL,Belgium,Europe,Transport,climate_change,kt CO2eq,25.338505899883867,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Metal Products,climate_change,kt CO2eq,25.20531692933956,2016,EXIOBASE v3.8.2 IOT_2016_ixi
FRA,France,Europe,Food and catering,land_use,km2,24.753958515264312,2016,EXIOBASE v3.8.2 IOT_2016_ixi
FIN,Finland,Europe,Minerals and Metals,material_extraction,kt,24.56206193486728,2016,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Minerals and Metals,material_extraction,kt,24.02264329256093,2016,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Transport,climate_change,kt CO2eq,23.157311692380375,2016,EXIOBASE v3.8.2 IOT_2016_ixi
ESP,Spain,Europe,Food and catering,land_use,km2,22.998709402187366,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Coal and Petroleum,climate_change,kt CO2eq,22.04744351254448,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Minerals and Metals,material_extraction,kt,21.827951889779413,2016,EXIOBASE v3.8.2 IOT_2016_ixi
TUR,Turkey,Middle East,Minerals and Metals,material_extraction,kt,21.490750836630635,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,21.45694408445334,2016,EXIOBASE v3.8.2 IOT_2016_ixi
ITA,Italy,Europe,Transport,climate_change,kt CO2eq,20.750280916505883,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,20.220877316135436,2016,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Minerals and Metals,material_extraction,kt,19.212908853566887,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Transport,climate_change,kt CO2eq,19.07628783679023,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,climate_change,kt CO2eq,18.77286787808301,2016,EXIOBASE v3.8.2 IOT_2016_ixi
GRC,Greece,Europe,Food and catering,land_use,km2,18.242946347835122,2016,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,17.934311599741065,2016,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Natural gas and gaseous fuels,climate_change,kt CO2eq,17.93049866268221,2016,EXIOBASE v3.8.2 IOT_2016_ixi
TWN,Taiwan,Asia and Pacific,Transport,climate_change,kt CO2eq,17.799517921825345,2016,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Electricity,climate_change,kt CO2eq,17.378328658226483,2016,EXIOBASE v3.8.2 IOT_2016_ixi
