Contribution,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Food and food services,388.7854487059603,106.94740422207744,16.64400567028566,1270.1106775128615,28.56732012423025
Heat and electricity,70.49166593383,18.720386758705292,0.3747555784678799,31.92804991620195,11.945504821811406
Individual travel,541.0577101256928,24.654016494832803,0.17124519106882052,1.604972599752538,0.0
"Medical, electrical equipment and machinery",145.1391899382631,110.50767408406948,1.639629072211263,85.36156282693238,5.798695580565205
Operational impacts,195.9599983729744,0.0,0.0,0.0,49.10282360999154
Other,472.8263092025237,977.5596727693844,2.500081976236219,202.3446214197864,40.48866378896807
Pharmaceuticals and chemical products,516.9359045831529,733.5514267888163,10.671521667484312,484.00814047685185,48.67932429132286
Services,1067.0531287834174,350.39143975582044,10.56262215499878,613.339889976994,34.32584983726161
Transport,2484.66725835797,181.92369762458688,4.942045615042212,342.46193443860096,19.405542817205404
