,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),6005.239508194557,86614.13373867093,6.933325138727763
Material extraction (kt),2509.718877348985,47233.92252096916,5.31338229687533
Blue water consumption (Mm3),47.54291359032139,1070.4416604167586,4.441429677896817
Land use (km2),3031.516088314055,76743.82483988514,3.950175919220698
Waste generation (kt),236.44143571411067,10780.55291525261,2.1932217908748175
