indicator,unit,producing_sector_group,value
land_use,km2,Food and catering,2992.4232665389495
climate_change,kt CO2eq,Transport,2839.332703153186
material_extraction,kt,Minerals and Metals,2239.5620174699084
climate_change,kt CO2eq,Private travel,541.0577101256928
climate_change,kt CO2eq,Food and catering,410.79820310363107
climate_change,kt CO2eq,Coal and Petroleum,326.19124559691875
climate_change,kt CO2eq,Waste management and disposal,322.2948770402857
climate_change,kt CO2eq,Electricity,279.13359889889443
climate_change,kt CO2eq,Services,266.1325802962573
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",223.8108632208501
climate_change,kt CO2eq,Operational impact,195.9599983729744
climate_change,kt CO2eq,Chemical,165.57837537498682
material_extraction,kt,Non-metallic mineral products,115.30951548791543
climate_change,kt CO2eq,Natural gas and gaseous fuels,73.36323222445962
climate_change,kt CO2eq,Metal Products,72.3948177659926
climate_change,kt CO2eq,Minerals and Metals,53.22394809903436
climate_change,kt CO2eq,Non-metallic mineral products,53.129813553750054
waste_generation,kt,Operational impact,49.10282360999154
blue_water_consumption,Mm3,Food and catering,40.10696900798274
waste_generation,kt,Waste management and disposal,39.09469897107797
waste_generation,kt,Food and catering,39.04830387877641
waste_generation,kt,Chemical,37.89321301873624
material_extraction,kt,Food and catering,31.51698985867749
material_extraction,kt,Private travel,24.654016494832803
material_extraction,kt,Services,23.218973955741628
material_extraction,kt,Chemical,22.799777096215188
material_extraction,kt,Transport,19.736574167855082
waste_generation,kt,Electricity,19.071544728924987
climate_change,kt CO2eq,Paper Products,15.437217192789177
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",15.197892811582895
waste_generation,kt,Paper Products,12.770029410997237
climate_change,kt CO2eq,Textile,11.723576809913995
waste_generation,kt,Coal and Petroleum,9.931569471376024
land_use,km2,Furniture and timber,8.89382598626223
land_use,km2,Services,8.1630917912782
waste_generation,kt,Services,8.050994542148073
climate_change,kt CO2eq,Furniture and timber,7.137370825244156
waste_generation,kt,Transport,6.813645151681587
land_use,km2,Textile,6.1473210186749565
waste_generation,kt,"Steam, hot water supply and water distribution",5.765031331138365
land_use,km2,Paper Products,5.46047917975189
material_extraction,kt,Electricity,5.272390470265284
material_extraction,kt,Coal and Petroleum,4.499442582974102
climate_change,kt CO2eq,Construction,4.379701261685573
waste_generation,kt,Metal Products,4.058085313060214
material_extraction,kt,Construction,3.95537431932522
land_use,km2,Transport,3.7243403161046738
material_extraction,kt,Metal Products,3.7145254499666587
blue_water_consumption,Mm3,Electricity,3.6864666731716884
climate_change,kt CO2eq,General and special Machinery,3.454184842382628
material_extraction,kt,Natural gas and gaseous fuels,3.4066704036684263
climate_change,kt CO2eq,Transport Equipment,3.184703433277856
waste_generation,kt,Construction,2.5614941287744477
material_extraction,kt,"Electrical, electronic and measuring equipment",1.9002134276456717
material_extraction,kt,Waste management and disposal,1.7338733036522436
material_extraction,kt,"Steam, hot water supply and water distribution",1.7060691421167722
land_use,km2,Private travel,1.604972599752538
blue_water_consumption,Mm3,Chemical,1.402260966946394
land_use,km2,Electricity,1.2583029763585314
waste_generation,kt,"Electrical, electronic and measuring equipment",0.995275349496956
land_use,km2,Waste management and disposal,0.9695644108610286
land_use,km2,Coal and Petroleum,0.9110849303137911
waste_generation,kt,Furniture and timber,0.8603036148731771
waste_generation,kt,Non-metallic mineral products,0.8432763521162993
blue_water_consumption,Mm3,Metal Products,0.7366225808689988
waste_generation,kt,Textile,0.422934053723578
blue_water_consumption,Mm3,Paper Products,0.38815987177943795
waste_generation,kt,General and special Machinery,0.3687908028930492
material_extraction,kt,General and special Machinery,0.35914984252604015
land_use,km2,Chemical,0.35139696510796503
land_use,km2,Minerals and Metals,0.3332459157635506
material_extraction,kt,Paper Products,0.30191904542729336
material_extraction,kt,Furniture and timber,0.2809654415865313
waste_generation,kt,Transport Equipment,0.25547691368929604
blue_water_consumption,Mm3,Services,0.24275086971680165
land_use,km2,General and special Machinery,0.23015343658717524
material_extraction,kt,Transport Equipment,0.2299714553171396
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.22224335652339444
waste_generation,kt,Minerals and Metals,0.22070301771848197
land_use,km2,Construction,0.20752980909659807
blue_water_consumption,Mm3,Textile,0.1988530192765603
waste_generation,kt,Natural gas and gaseous fuels,0.18553121016228877
land_use,km2,Metal Products,0.17941994090132182
blue_water_consumption,Mm3,Private travel,0.17124519106882052
land_use,km2,"Steam, hot water supply and water distribution",0.14633966204482962
blue_water_consumption,Mm3,General and special Machinery,0.10622191495280754
material_extraction,kt,Textile,0.0972890826757548
land_use,km2,Non-metallic mineral products,0.08780985208075366
blue_water_consumption,Mm3,Non-metallic mineral products,0.0804667992882397
blue_water_consumption,Mm3,Furniture and timber,0.049210454353432825
blue_water_consumption,Mm3,Transport,0.040855736069664465
land_use,km2,Natural gas and gaseous fuels,0.039231638264850044
blue_water_consumption,Mm3,Coal and Petroleum,0.0257587801335091
land_use,km2,Transport Equipment,0.02263976909676327
blue_water_consumption,Mm3,Minerals and Metals,0.017872628973026328
blue_water_consumption,Mm3,Waste management and disposal,0.01298415640700973
blue_water_consumption,Mm3,Transport Equipment,0.009613649750435065
land_use,km2,"Electrical, electronic and measuring equipment",0.005832430730976923
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.004288814243059006
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0017535865681523406
blue_water_consumption,Mm3,Construction,0.0013088677209678852
