,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"6,005 (100·0%)","2,510 (100·0%)",48 (100·0%),"3,032 (100·0%)",236 (100·0%),"33,430 (100·0%)"
Health-care services,Top-down,"4,604 (76·7%)","1,747 (69·6%)",36 (76·0%),"2,514 (82·9%)",187 (79·3%),"30,989 (92·7%)"
Pharmaceuticals and chemical products,Top-down,544 (9·1%),652 (26·0%),10 (20·8%),445 (14·7%),44 (18·8%),"1,621 (4·8%)"
Medical appliances,Top-down,159 (2·7%),81 (3·2%),1 (2·7%),71 (2·3%),5 (2·0%),820 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,11 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,674 (11·2%),30 (1·2%),0 (0·4%),2 (<0·1%),0 (<0·1%),NA
