Region,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Unallocated,220.13563306059416,22.6376,0.1568,1.4739,0.0
Middle East,318.0032916690718,151.5778039192125,11.932691713246344,121.4269348334672,3.1612357149073183
Europe,1269.9093059906813,511.18802811323684,5.377020896192138,902.1300408987082,57.38241354309176
Asia and Pacific,1101.9752518997282,368.79639625314513,26.130561373455564,983.7953141288535,29.0054021188442
America,202.96787048726725,108.90236155301572,3.5183999468156752,448.5244288158359,7.059611330553908
Africa,120.98478582379758,46.134174846391325,2.44150369791805,550.2597243938906,12.576590427912004
Denmark,2833.577670782597,1740.8362485184446,4.713012980112963,315.7700652141447,159.39780754280667
