time,c_dest,c_orig,nace_r2,na_item,unit,value
2021,DK,BG,A02,TOTAL,THS_T,0.206
2021,DK,BR,A02,TOTAL,THS_T,0.27
2021,DK,CA,A02,TOTAL,THS_T,1.007
2021,DK,CH,A02,TOTAL,THS_T,0.199
2021,DK,CN,A02,TOTAL,THS_T,5.236
2021,DK,CY,A02,TOTAL,THS_T,0
2021,DK,CZ,A02,TOTAL,THS_T,0.176
2021,DK,DE,A02,TOTAL,THS_T,4.384
2021,DK,DK,A02,TOTAL,THS_T,35.358
2021,DK,EE,A02,TOTAL,THS_T,1.247
2021,DK,EL,A02,TOTAL,THS_T,0
2021,DK,ES,A02,TOTAL,THS_T,0.333
2021,DK,EU27_2020,A02,TOTAL,THS_T,83.505
2021,DK,EXT_EU27_2020,A02,TOTAL,THS_T,20.793
2021,DK,FI,A02,TOTAL,THS_T,2.794
2021,DK,FR,A02,TOTAL,THS_T,0.597
2021,DK,HR,A02,TOTAL,THS_T,0.22
2021,DK,HU,A02,TOTAL,THS_T,0.426
2021,DK,ID,A02,TOTAL,THS_T,0.377
2021,DK,IE,A02,TOTAL,THS_T,0.14
2021,DK,IN,A02,TOTAL,THS_T,0.882
2021,DK,IT,A02,TOTAL,THS_T,0.053
2021,DK,JP,A02,TOTAL,THS_T,0.115
2021,DK,KR,A02,TOTAL,THS_T,0.097
2021,DK,LT,A02,TOTAL,THS_T,1.327
2021,DK,LU,A02,TOTAL,THS_T,0.012
2021,DK,LV,A02,TOTAL,THS_T,6.141
2021,DK,MT,A02,TOTAL,THS_T,0
2021,DK,MX,A02,TOTAL,THS_T,0.06
2021,DK,NL,A02,TOTAL,THS_T,0.449
2021,DK,NO,A02,TOTAL,THS_T,0.95
2021,DK,PL,A02,TOTAL,THS_T,3.752
2021,DK,PT,A02,TOTAL,THS_T,0.134
2021,DK,RO,A02,TOTAL,THS_T,0.113
2021,DK,RU,A02,TOTAL,THS_T,1.12
2021,DK,SA,A02,TOTAL,THS_T,0
2021,DK,SE,A02,TOTAL,THS_T,23.832
2021,DK,SI,A02,TOTAL,THS_T,0.056
2021,DK,SK,A02,TOTAL,THS_T,0.511
2021,DK,TR,A02,TOTAL,THS_T,0.019
2021,DK,UK,A02,TOTAL,THS_T,0.168
2021,DK,US,A02,TOTAL,THS_T,1.718
2021,DK,WORLD,A02,TOTAL,THS_T,104.298
2021,DK,WRL_REST,A02,TOTAL,THS_T,8.386
2021,DK,ZA,A02,TOTAL,THS_T,0.095
2021,DK,AR,A03,TOTAL,THS_T,1.428
2021,DK,AT,A03,TOTAL,THS_T,0.002
2021,DK,AU,A03,TOTAL,THS_T,0.215
2021,DK,BE,A03,TOTAL,THS_T,1.16
2021,DK,BG,A03,TOTAL,THS_T,0.004
2021,DK,BR,A03,TOTAL,THS_T,0.156
2021,DK,CA,A03,TOTAL,THS_T,0.709
2021,DK,CH,A03,TOTAL,THS_T,0.049
2021,DK,CN,A03,TOTAL,THS_T,5.523
2021,DK,CY,A03,TOTAL,THS_T,0.006
2021,DK,CZ,A03,TOTAL,THS_T,0.374
2021,DK,DE,A03,TOTAL,THS_T,0.365
2021,DK,DK,A03,TOTAL,THS_T,48.39
2021,DK,EE,A03,TOTAL,THS_T,1.612
2021,DK,EL,A03,TOTAL,THS_T,0.045
2021,DK,ES,A03,TOTAL,THS_T,0.574
2021,DK,EU27_2020,A03,TOTAL,THS_T,71.747
2021,DK,EXT_EU27_2020,A03,TOTAL,THS_T,74.906
2021,DK,FI,A03,TOTAL,THS_T,0.326
2021,DK,FR,A03,TOTAL,THS_T,1.738
2021,DK,HR,A03,TOTAL,THS_T,0.044
2021,DK,HU,A03,TOTAL,THS_T,0.023
2021,DK,ID,A03,TOTAL,THS_T,0.445
2021,DK,IE,A03,TOTAL,THS_T,0.245
2021,DK,IN,A03,TOTAL,THS_T,0.844
2021,DK,IT,A03,TOTAL,THS_T,0.172
2021,DK,JP,A03,TOTAL,THS_T,0.45
2021,DK,KR,A03,TOTAL,THS_T,0.545
2021,DK,LT,A03,TOTAL,THS_T,0.709
2021,DK,LU,A03,TOTAL,THS_T,0
2021,DK,LV,A03,TOTAL,THS_T,0.119
2021,DK,MT,A03,TOTAL,THS_T,0.013
2021,DK,MX,A03,TOTAL,THS_T,0.115
2021,DK,NL,A03,TOTAL,THS_T,7.699
2021,DK,NO,A03,TOTAL,THS_T,22.473
2021,DK,PL,A03,TOTAL,THS_T,6.898
2021,DK,PT,A03,TOTAL,THS_T,0.151
2021,DK,RO,A03,TOTAL,THS_T,0.022
2021,DK,RU,A03,TOTAL,THS_T,1.562
2021,DK,SA,A03,TOTAL,THS_T,0.044
2021,DK,SE,A03,TOTAL,THS_T,1.046
2021,DK,SI,A03,TOTAL,THS_T,0.004
2021,DK,SK,A03,TOTAL,THS_T,0.006
2021,DK,TR,A03,TOTAL,THS_T,0.099
2021,DK,UK,A03,TOTAL,THS_T,3.548
2021,DK,US,A03,TOTAL,THS_T,3.579
2021,DK,WORLD,A03,TOTAL,THS_T,146.653
2021,DK,WRL_REST,A03,TOTAL,THS_T,32.74
2021,DK,ZA,A03,TOTAL,THS_T,0.382
2021,DK,AR,B,TOTAL,THS_T,5.987
2021,DK,AT,B,TOTAL,THS_T,1.511
2021,DK,AU,B,TOTAL,THS_T,39.31
2021,DK,BE,B,TOTAL,THS_T,1.551
2021,DK,BG,B,TOTAL,THS_T,5.413
2021,DK,BR,B,TOTAL,THS_T,31.337
2021,DK,CA,B,TOTAL,THS_T,63.805
2021,DK,CH,B,TOTAL,THS_T,0.139
2021,DK,CN,B,TOTAL,THS_T,521.428
2021,DK,CY,B,TOTAL,THS_T,0.039
2021,DK,CZ,B,TOTAL,THS_T,13.269
2021,DK,DE,B,TOTAL,THS_T,40.105
2021,DK,DK,B,TOTAL,THS_T,454.223
2021,DK,EE,B,TOTAL,THS_T,0.504
2021,DK,EL,B,TOTAL,THS_T,0.739
2021,DK,ES,B,TOTAL,THS_T,2.74
2021,DK,EU27_2020,B,TOTAL,THS_T,714.063
2021,DK,EXT_EU27_2020,B,TOTAL,THS_T,4069.43
2021,DK,FI,B,TOTAL,THS_T,4.693
2021,DK,FR,B,TOTAL,THS_T,0.935
2021,DK,HR,B,TOTAL,THS_T,1.144
2021,DK,HU,B,TOTAL,THS_T,1.882
2021,DK,ID,B,TOTAL,THS_T,111.236
2021,DK,IE,B,TOTAL,THS_T,0.174
2021,DK,IN,B,TOTAL,THS_T,61.803
2021,DK,IT,B,TOTAL,THS_T,8.086
2021,DK,JP,B,TOTAL,THS_T,0.98
2021,DK,KR,B,TOTAL,THS_T,1.324
2021,DK,LT,B,TOTAL,THS_T,0.159
2021,DK,LU,B,TOTAL,THS_T,0.019
2021,DK,LV,B,TOTAL,THS_T,0.482
2021,DK,MT,B,TOTAL,THS_T,0.012
2021,DK,MX,B,TOTAL,THS_T,14.855
2021,DK,NL,B,TOTAL,THS_T,9.547
2021,DK,NO,B,TOTAL,THS_T,119.845
2021,DK,PL,B,TOTAL,THS_T,141.929
2021,DK,PT,B,TOTAL,THS_T,1.214
2021,DK,RO,B,TOTAL,THS_T,8.389
2021,DK,RU,B,TOTAL,THS_T,852.477
2021,DK,SA,B,TOTAL,THS_T,102.036
2021,DK,SE,B,TOTAL,THS_T,13.357
2021,DK,SI,B,TOTAL,THS_T,0.836
2021,DK,SK,B,TOTAL,THS_T,1.111
2021,DK,TR,B,TOTAL,THS_T,11.194
2021,DK,UK,B,TOTAL,THS_T,86.475
2021,DK,US,B,TOTAL,THS_T,495.089
2021,DK,WORLD,B,TOTAL,THS_T,4783.493
2021,DK,WRL_REST,B,TOTAL,THS_T,1480.182
2021,DK,ZA,B,TOTAL,THS_T,69.928
2021,DK,AR,C,TOTAL,THS_T,12.072
2021,DK,AT,C,TOTAL,THS_T,126.683
2021,DK,AU,C,TOTAL,THS_T,28.5
2021,DK,BE,C,TOTAL,THS_T,182.339
2021,DK,BG,C,TOTAL,THS_T,26.367
2021,DK,BR,C,TOTAL,THS_T,56.26
2021,DK,CA,C,TOTAL,THS_T,132.688
2021,DK,CH,C,TOTAL,THS_T,18.434
2021,DK,CN,C,TOTAL,THS_T,2728.768
2021,DK,CY,C,TOTAL,THS_T,1.327
2021,DK,CZ,C,TOTAL,THS_T,113.859
2021,DK,DE,C,TOTAL,THS_T,1311.644
2021,DK,DK,C,TOTAL,THS_T,2943.629
2021,DK,EE,C,TOTAL,THS_T,14.011
2021,DK,EL,C,TOTAL,THS_T,32.838
2021,DK,ES,C,TOTAL,THS_T,188.6
2021,DK,EU27_2020,C,TOTAL,THS_T,7195.657
2021,DK,EXT_EU27_2020,C,TOTAL,THS_T,7249.248
2021,DK,FI,C,TOTAL,THS_T,114.208
2021,DK,FR,C,TOTAL,THS_T,267.796
2021,DK,HR,C,TOTAL,THS_T,7.693
2021,DK,HU,C,TOTAL,THS_T,69.868
2021,DK,ID,C,TOTAL,THS_T,56.15
2021,DK,IE,C,TOTAL,THS_T,27.189
2021,DK,IN,C,TOTAL,THS_T,356.196
2021,DK,IT,C,TOTAL,THS_T,271.704
2021,DK,JP,C,TOTAL,THS_T,118.946
2021,DK,KR,C,TOTAL,THS_T,161.743
2021,DK,LT,C,TOTAL,THS_T,60.715
2021,DK,LU,C,TOTAL,THS_T,6.968
2021,DK,LV,C,TOTAL,THS_T,25.393
2021,DK,MT,C,TOTAL,THS_T,0.23
2021,DK,MX,C,TOTAL,THS_T,73.317
2021,DK,NL,C,TOTAL,THS_T,329.14
2021,DK,NO,C,TOTAL,THS_T,207.266
2021,DK,PL,C,TOTAL,THS_T,493.82
2021,DK,PT,C,TOTAL,THS_T,51.165
2021,DK,RO,C,TOTAL,THS_T,69.203
2021,DK,RU,C,TOTAL,THS_T,834.286
2021,DK,SA,C,TOTAL,THS_T,83.915
2021,DK,SE,C,TOTAL,THS_T,330.057
2021,DK,SI,C,TOTAL,THS_T,15.059
2021,DK,SK,C,TOTAL,THS_T,114.152
2021,DK,TR,C,TOTAL,THS_T,237.679
2021,DK,UK,C,TOTAL,THS_T,218.427
2021,DK,US,C,TOTAL,THS_T,386.809
2021,DK,WORLD,C,TOTAL,THS_T,14444.905
2021,DK,WRL_REST,C,TOTAL,THS_T,1458.396
2021,DK,ZA,C,TOTAL,THS_T,79.396
2021,DK,AR,C10-C12,TOTAL,THS_T,3.16
2021,DK,AT,C10-C12,TOTAL,THS_T,2.542
2021,DK,AU,C10-C12,TOTAL,THS_T,0.837
2021,DK,BE,C10-C12,TOTAL,THS_T,11.665
2021,DK,BG,C10-C12,TOTAL,THS_T,0.97
2021,DK,BR,C10-C12,TOTAL,THS_T,3.825
2021,DK,CA,C10-C12,TOTAL,THS_T,2.785
2021,DK,CH,C10-C12,TOTAL,THS_T,1.893
2021,DK,CN,C10-C12,TOTAL,THS_T,16.444
2021,DK,CY,C10-C12,TOTAL,THS_T,0.363
2021,DK,CZ,C10-C12,TOTAL,THS_T,3.769
2021,DK,DE,C10-C12,TOTAL,THS_T,74.664
