time,geo,nace_r2,cpa2_1,unit,value
2022,DK,A03,CPA_O84,MIO_EUR,0
2022,DK,A03,CPA_P85,MIO_EUR,0
2022,DK,A03,CPA_Q86,MIO_EUR,0
2022,DK,A03,CPA_Q87_88,MIO_EUR,0
2022,DK,A03,CPA_R90-92,MIO_EUR,0
2022,DK,A03,CPA_R93,MIO_EUR,0
2022,DK,A03,CPA_S94,MIO_EUR,0
2022,DK,A03,CPA_S95,MIO_EUR,0
2022,DK,A03,CPA_S96,MIO_EUR,0
2022,DK,A03,CPA_T,MIO_EUR,0
2022,DK,A03,CPA_U,MIO_EUR,0
2022,DK,B,CPA_A01,MIO_EUR,0
2022,DK,B,CPA_A02,MIO_EUR,0
2022,DK,B,CPA_A03,MIO_EUR,0
2022,DK,B,CPA_B,MIO_EUR,4759.332
2022,DK,B,CPA_C10-12,MIO_EUR,23.235
2022,DK,B,CPA_C13-15,MIO_EUR,0
2022,DK,B,CPA_C16,MIO_EUR,0
2022,DK,B,CPA_C17,MIO_EUR,0
2022,DK,B,CPA_C18,MIO_EUR,0
2022,DK,B,CPA_C19,MIO_EUR,0
2022,DK,B,CPA_C20,MIO_EUR,1.715
2022,DK,B,CPA_C21,MIO_EUR,0
2022,DK,B,CPA_C22,MIO_EUR,0
2022,DK,B,CPA_C23,MIO_EUR,24.431
2022,DK,B,CPA_C24,MIO_EUR,0
2022,DK,B,CPA_C25,MIO_EUR,0
2022,DK,B,CPA_C26,MIO_EUR,0
2022,DK,B,CPA_C27,MIO_EUR,0
2022,DK,B,CPA_C28,MIO_EUR,9.646
2022,DK,B,CPA_C29,MIO_EUR,0
2022,DK,B,CPA_C30,MIO_EUR,0
2022,DK,B,CPA_C31_32,MIO_EUR,0
2022,DK,B,CPA_C33,MIO_EUR,0
2022,DK,B,CPA_D35,MIO_EUR,0
2022,DK,B,CPA_E36,MIO_EUR,0
2022,DK,B,CPA_E37-39,MIO_EUR,0.039
2022,DK,B,CPA_F,MIO_EUR,0
2022,DK,B,CPA_G45,MIO_EUR,0
2022,DK,B,CPA_G46,MIO_EUR,0
2022,DK,B,CPA_G47,MIO_EUR,0
2022,DK,B,CPA_H49,MIO_EUR,0
2022,DK,B,CPA_H50,MIO_EUR,0
2022,DK,B,CPA_H51,MIO_EUR,0
2022,DK,B,CPA_H52,MIO_EUR,0
2022,DK,B,CPA_H53,MIO_EUR,0
2022,DK,B,CPA_I,MIO_EUR,0
2022,DK,B,CPA_J58,MIO_EUR,0
2022,DK,B,CPA_J59_60,MIO_EUR,0
2022,DK,B,CPA_J61,MIO_EUR,0
2022,DK,B,CPA_J62_63,MIO_EUR,6.033
2022,DK,B,CPA_K64,MIO_EUR,0
2022,DK,B,CPA_K65,MIO_EUR,0
2022,DK,B,CPA_K66,MIO_EUR,0
2022,DK,B,CPA_L,MIO_EUR,0
2022,DK,B,CPA_M69_70,MIO_EUR,0
2022,DK,B,CPA_M71,MIO_EUR,0
2022,DK,B,CPA_M72,MIO_EUR,12.572
2022,DK,B,CPA_M73,MIO_EUR,0
2022,DK,B,CPA_M74_75,MIO_EUR,0
2022,DK,B,CPA_N77,MIO_EUR,3.172
2022,DK,B,CPA_N78,MIO_EUR,0
2022,DK,B,CPA_N79,MIO_EUR,0
2022,DK,B,CPA_N80-82,MIO_EUR,1.624
2022,DK,B,CPA_O84,MIO_EUR,0
2022,DK,B,CPA_P85,MIO_EUR,0
2022,DK,B,CPA_Q86,MIO_EUR,0
2022,DK,B,CPA_Q87_88,MIO_EUR,0
2022,DK,B,CPA_R90-92,MIO_EUR,0
2022,DK,B,CPA_R93,MIO_EUR,0
2022,DK,B,CPA_S94,MIO_EUR,0
2022,DK,B,CPA_S95,MIO_EUR,0
2022,DK,B,CPA_S96,MIO_EUR,0
2022,DK,B,CPA_T,MIO_EUR,0
2022,DK,B,CPA_U,MIO_EUR,0
2022,DK,C10-C12,CPA_A01,MIO_EUR,97.856
2022,DK,C10-C12,CPA_A02,MIO_EUR,0
2022,DK,C10-C12,CPA_A03,MIO_EUR,149.917
2022,DK,C10-C12,CPA_B,MIO_EUR,0.078
2022,DK,C10-C12,CPA_C10-12,MIO_EUR,25036.863
2022,DK,C10-C12,CPA_C13-15,MIO_EUR,28.873
2022,DK,C10-C12,CPA_C16,MIO_EUR,0.426
2022,DK,C10-C12,CPA_C17,MIO_EUR,0.184
2022,DK,C10-C12,CPA_C18,MIO_EUR,0
2022,DK,C10-C12,CPA_C19,MIO_EUR,0
2022,DK,C10-C12,CPA_C20,MIO_EUR,406.947
