time,c_dest,c_orig,nace_r2,na_item,unit,value
2022,WORLD,UK,A01,TOTAL,THS_T,48274.502
2022,WORLD,US,A01,TOTAL,THS_T,513202.43
2022,WORLD,WORLD,A01,TOTAL,THS_T,7172179.531
2022,WORLD,WRL_REST,A01,TOTAL,THS_T,2584287.364
2022,WORLD,ZA,A01,TOTAL,THS_T,48665.567
2022,WORLD,AR,A02,TOTAL,THS_T,123.616
2022,WORLD,AT,A02,TOTAL,THS_T,118.203
2022,WORLD,AU,A02,TOTAL,THS_T,174.504
2022,WORLD,BE,A02,TOTAL,THS_T,166.543
2022,WORLD,BG,A02,TOTAL,THS_T,35.178
2022,WORLD,BR,A02,TOTAL,THS_T,510.113
2022,WORLD,CA,A02,TOTAL,THS_T,1983.946
2022,WORLD,CH,A02,TOTAL,THS_T,75.092
2022,WORLD,CN,A02,TOTAL,THS_T,7564.188
2022,WORLD,CY,A02,TOTAL,THS_T,1.25
2022,WORLD,CZ,A02,TOTAL,THS_T,49.838
2022,WORLD,DE,A02,TOTAL,THS_T,722.749
2022,WORLD,DK,A02,TOTAL,THS_T,56.979
2022,WORLD,EE,A02,TOTAL,THS_T,26.348
2022,WORLD,EL,A02,TOTAL,THS_T,7
2022,WORLD,ES,A02,TOTAL,THS_T,236.376
2022,WORLD,EU27_2020,A02,TOTAL,THS_T,5082.426
2022,WORLD,EXT_EU27_2020,A02,TOTAL,THS_T,28301.033
2022,WORLD,FI,A02,TOTAL,THS_T,380.758
2022,WORLD,FR,A02,TOTAL,THS_T,624.032
2022,WORLD,HR,A02,TOTAL,THS_T,133.554
2022,WORLD,HU,A02,TOTAL,THS_T,125.742
2022,WORLD,ID,A02,TOTAL,THS_T,697.441
2022,WORLD,IE,A02,TOTAL,THS_T,64.945
2022,WORLD,IN,A02,TOTAL,THS_T,4123.285
2022,WORLD,IT,A02,TOTAL,THS_T,102.047
2022,WORLD,JP,A02,TOTAL,THS_T,448.547
2022,WORLD,KR,A02,TOTAL,THS_T,280.257
2022,WORLD,LT,A02,TOTAL,THS_T,61.321
2022,WORLD,LU,A02,TOTAL,THS_T,0.004
2022,WORLD,LV,A02,TOTAL,THS_T,287.087
