,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),6063.93242395457,86291.67003489644,7.027251206868878
Material extraction (kt),4340.878084857017,54467.89279711464,7.969608997040122
Blue water consumption (Mm3),97.58579626855385,1289.7959466438015,7.565987203052034
Land use (km2),4990.6477415147565,100333.23276498371,4.974072502183436
Waste generation (kt),264.7401429789632,10621.459422026775,2.4925025126956215
