indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,21.757429115468774,28.278869022684507
blue_water_consumption,Mm3,imported,55.181394350263126,71.7211309773155
climate_change,kt CO2eq,domestic,4257.482086113006,74.84921392101964
climate_change,kt CO2eq,imported,1430.5964695355149,25.15078607898035
land_use,km2,domestic,1560.4557824493077,36.65197448326581
land_use,km2,imported,2697.038675759935,63.348025516734175
material_extraction,kt,domestic,2300.4776046061165,64.19616597822726
material_extraction,kt,imported,1283.0348521757192,35.803834021772744
waste_generation,kt,domestic,154.06379269605858,67.9910106640053
waste_generation,kt,imported,72.53056322167241,32.00898933599471
